,sample_id,plate_number,treatment,cluster,ITGB1,MAPK_P38_P2,PLC_G2_P,STAT5_P,LRP6_P,H2A_P,KALLIKREIN_6,EPHRIN_B3,PLC_G1_P,SMAD3,MTOR_P,NFKB_P65_P,FAK_P,CDC2,STAT1,EGFR_P_Y1173,IKBA_P,KLF4,JAK1_P,RSK1_P_S380,RB_P,FAK,EGFR_P_Y1045,FRIZZLED_3,CREB_P,NOTCH_3,ERK1_2,MAPK_P38_P,RSK1_P_T359,AKT1_P,BMP2_4,CMYC,SMAD1_5_9_P,NOTCH_2,NICD,JNK,BMPRII,IKBA,GAPDH,AKT123_P,RELA_P,STAT1_P,RIBOSOMAL_S6_P,SMAD1_5_P,H3_P,MKK3_6_P,RNAPOLII,SRC,CFOS_P,STAT3_P,CYCLIN_E,CDK4,CYCLIN_B1,P63,IGFBP_3,NOTCH_1,SMAD2_3_P,RELA,SMAD1,GSK3B_P,ERK1_2_P,MAPK_APK2_P,JAGGED_1,AKT2,TGM1,SRC_P,JNK_P,CJUN_P,JAK1
409,plate_7_200,plate_7,EGF,3,0.400664972,0.003547839,0.002572785,0.002184713,0.005162036,0.022726877,0.018057726,0.005550407,0.002039248,0.015135464,0.00363428,0.003655951,0.003804621,0.001967797,0.01772876,0.002969578,0.00771246,0.00687441,0.002888355,0.002666057,0.053449758,0.003044451,0.003819613,0.023848066,0.007095515,0.001659282,0.002919157,0.008421666,0.004670572,0.004220575,0.015847445,0.009754739,0.002456753,0.00410401,0.002865683,0.003949605,0.002310663,0.005196884,0.003574543,0.003692418,0.004509848,0.003260189,0.173164249,0.00237186,0.01226985,0.005770093,0.004972342,0.021039059,0.005030237,0.006905983,0.003953758,0.0032028,0.014720709,0.033241502,0.003527195,0.030374898,0.002239158,0.003208525,0.006382687,0.005420497,0.002855216,0.015162351,0.004882523,0.00419615,0.002500308,0.00309082,0.006024587,0.005661237,0.042572806
410,plate_9_200,plate_9,ip70S6K_EGF,6,0.454965182,0.004282296,0.001824901,0.002210212,0.004843513,0.006866917,0.01722462,0.005730454,0.001996784,0.014450068,0.003391412,0.003303776,0.004384965,0.002105222,0.023843422,0.002567497,0.007175697,0.007021147,0.002608256,0.002946319,0.046754549,0.002665803,0.003357565,0.026846036,0.006551716,0.001802814,0.002583476,0.010305683,0.004937038,0.006182679,0.011018269,0.008017901,0.002752969,0.004698182,0.002923813,0.00319702,0.002432378,0.004722698,0.004292099,0.002835731,0.004602099,0.003023419,0.067131882,0.00289816,0.009331906,0.005345955,0.006073432,0.018296879,0.005375696,0.007384449,0.003947769,0.002978892,0.010588814,0.02552712,0.003419758,0.047641955,0.001968581,0.00360964,0.005504385,0.007122712,0.00308475,0.011185948,0.004275376,0.004156033,0.002308034,0.003412278,0.006121172,0.004143893,0.037260439
411,plate_10_163,plate_10,iRSK_EGF,7,0.459895136,0.0038889,0.002341506,0.002319664,0.003907411,0.007975966,0.021821274,0.005233628,0.002037444,0.014677119,0.002624506,0.003223698,0.004641386,0.002228594,0.034704712,0.002638002,0.00612012,0.006313652,0.002530727,0.002603257,0.038242508,0.002420373,0.002772284,0.026845587,0.005819477,0.001506136,0.002488919,0.008687053,0.004420023,0.003628731,0.012560153,0.006335792,0.002556057,0.004024739,0.002945122,0.002944258,0.002188777,0.00468376,0.003858587,0.002825473,0.003453827,0.003004591,0.102731126,0.003119431,0.011707629,0.006312075,0.00573475,0.021662003,0.005152697,0.00970753,0.004115228,0.003328816,0.014172974,0.01798556,0.003306508,0.070143084,0.001867042,0.003907267,0.005094692,0.006522657,0.003723062,0.017968161,0.004630861,0.003441123,0.004279656,0.00350477,0.005855451,0.00636749,0.035242862
412,plate_11_163,plate_11,EGF,6,0.372339595,0.003981194,0.002220976,0.001879843,0.005698135,0.011433372,0.020193219,0.005137276,0.00239897,0.012868798,0.00298222,0.00315814,0.00457979,0.00222361,0.018517274,0.003114169,0.006751353,0.006128029,0.002373928,0.00264989,0.042085317,0.00286957,0.003103675,0.020142245,0.00557051,0.001355689,0.002406864,0.007699256,0.004841277,0.003939179,0.013195658,0.010405323,0.002819855,0.004059742,0.003411103,0.00313628,0.002765463,0.003736779,0.003757904,0.002941409,0.004584839,0.002533268,0.132624778,0.003714562,0.012482089,0.006653773,0.004841699,0.020979894,0.005274793,0.008020028,0.004459614,0.002793383,0.013632998,0.02457409,0.00319176,0.055753822,0.002334055,0.003421311,0.005168037,0.004882353,0.003557168,0.013489727,0.00408694,0.004194668,0.003844315,0.00353482,0.006024177,0.009876785,0.033537997
413,plate_12_163,plate_12,EGF,7,0.493500679,0.004342985,0.002165586,0.002138827,0.005630984,0.005928707,0.018646275,0.005188457,0.001912486,0.016813524,0.002514672,0.003104429,0.004630844,0.002006376,0.022263434,0.002408823,0.00708744,0.006488509,0.002457775,0.002568902,0.007764942,0.002429306,0.003105835,0.030751342,0.006475862,0.001691197,0.002855882,0.008440622,0.006143482,0.004747833,0.014145462,0.007650154,0.002430136,0.004393057,0.002783752,0.003442666,0.002619049,0.004406923,0.004467297,0.003057021,0.004047377,0.002819418,0.0466244,0.00290387,0.011309317,0.00653743,0.005423344,0.023927475,0.006234611,0.006976316,0.004488016,0.003262204,0.010504589,0.028895382,0.003575075,0.039052562,0.00169489,0.003628632,0.006029591,0.007506898,0.003085567,0.014162081,0.004543405,0.004043537,0.004141187,0.003038723,0.006657824,0.004593094,0.041343445
414,plate_4_163,plate_4,ip70S6K_EGF,6,0.406016969,0.003628225,0.00210905,0.002466855,0.005093325,0.013709235,0.019724994,0.005140922,0.001555166,0.01601375,0.003080373,0.003855349,0.004263823,0.002086385,0.023275297,0.003228459,0.007887329,0.006472844,0.002921291,0.002875283,0.043493812,0.003009977,0.0033243,0.026206439,0.007152113,0.001919301,0.00252993,0.008704799,0.005532683,0.005412361,0.012694208,0.009648061,0.002968298,0.00461454,0.003333215,0.003857554,0.002555555,0.004586894,0.004069908,0.003420823,0.004181071,0.002807203,0.120040335,0.003414822,0.011428899,0.007363534,0.005638837,0.020559529,0.006177847,0.007499783,0.004418111,0.003401396,0.010080084,0.024905489,0.0044745,0.035060465,0.002214926,0.003538203,0.005756439,0.009454208,0.003621088,0.015904001,0.003914028,0.004424106,0.003457843,0.003303803,0.005845268,0.004801411,0.038105033
415,plate_6_163,plate_6,EGF,5,0.388530416,0.003880866,0.002119788,0.002010081,0.004825267,0.009102616,0.016179879,0.005612901,0.002262135,0.014162706,0.003062543,0.003446644,0.004559088,0.002504053,0.014808729,0.003312436,0.006508129,0.006983271,0.002843007,0.002554086,0.044514875,0.002798717,0.003227112,0.031372204,0.005465817,0.001674168,0.002368242,0.009549599,0.004381609,0.004344901,0.013520994,0.009903219,0.002928786,0.004057296,0.003073327,0.003328714,0.002266719,0.003949208,0.003784741,0.00320348,0.004179204,0.00266647,0.124538525,0.002740249,0.015662514,0.005488683,0.004950052,0.017432587,0.004870997,0.007052041,0.004096204,0.003304414,0.024507761,0.023624764,0.003767943,0.057453878,0.001943158,0.002939336,0.005431549,0.005400155,0.002516165,0.013677987,0.00398283,0.003829984,0.002626453,0.003079554,0.005422082,0.005243883,0.034158253
416,plate_9_163,plate_9,EGF,2,0.295483346,0.003604508,0.001452346,0.001565741,0.005365549,0.005444486,0.01347111,0.004612089,0.001392964,0.019269082,0.002339153,0.00354703,0.003548885,0.00182247,0.035513215,0.002715359,0.006409321,0.006656908,0.002387003,0.002544759,0.047080381,0.002261332,0.003045341,0.024147607,0.005450587,0.001385358,0.002959224,0.007379004,0.004528426,0.004028776,0.014306612,0.010940865,0.002295734,0.003844571,0.001611579,0.003308481,0.002453163,0.005131811,0.003488574,0.002792512,0.003826178,0.002412375,0.07230309,0.002532066,0.008406009,0.004567061,0.006259315,0.019881845,0.00363721,0.006057644,0.003489133,0.002366043,0.009129392,0.038210265,0.002958677,0.052016107,0.001951221,0.003166495,0.005301411,0.007500719,0.003281764,0.011424753,0.004526898,0.003039535,0.002713597,0.002820743,0.006156392,0.005012858,0.035388099
417,plate_10_217,plate_10,EGF,8,0.418240481,0.004020713,0.002003682,0.001450737,0.009477521,0.006575792,0.01679727,0.005243304,0.001545142,0.012937009,0.002521491,0.002979423,0.003355439,0.001604853,0.018924628,0.003738751,0.005083055,0.006731719,0.003046442,0.002430865,0.043147894,0.002619557,0.00236735,0.034964261,0.004861887,0.001520209,0.003323411,0.009000991,0.005718824,0.003481366,0.016962392,0.013550954,0.002012368,0.003264548,0.002513788,0.003952332,0.004146981,0.004740888,0.007657312,0.003189254,0.005978557,0.002374409,0.204294613,0.002910541,0.00908693,0.006733521,0.004342947,0.021954639,0.005682523,0.00460118,0.004359674,0.003627731,0.008461229,0.022996285,0.002620725,0.053672731,0.00165054,0.002181759,0.004171632,0.005374945,0.002517982,0.011033346,0.004495601,0.003421539,0.003148187,0.002147737,0.010952642,0.004548808,0.029199398
418,plate_11_217,plate_11,EGF,4,0.488022532,0.004438833,0.002656416,0.002610718,0.005958166,0.007152548,0.020205651,0.005315713,0.002175134,0.014818554,0.003341892,0.003025332,0.003729974,0.00221611,0.018043612,0.00301522,0.007107405,0.007036649,0.002628696,0.003003596,0.01366817,0.002748974,0.003118514,0.026067764,0.006007745,0.001835676,0.002554781,0.010186611,0.003677849,0.004522677,0.013872239,0.007821053,0.00239439,0.004560673,0.002895162,0.003680095,0.002211502,0.004359409,0.00425287,0.003112637,0.003651624,0.002379786,0.087051838,0.002654795,0.012129575,0.006378442,0.005493466,0.020745037,0.004496996,0.007457865,0.003568168,0.00325824,0.011333334,0.027113981,0.003874478,0.077902633,0.001643827,0.002835848,0.005649538,0.005964157,0.003638059,0.014051137,0.005701469,0.005060415,0.004631657,0.003344561,0.00699899,0.004986094,0.037329536
419,plate_12_217,plate_12,ip70S6K_EGF,7,0.63748396,0.004192018,0.002306122,0.00270614,0.004440241,0.006566791,0.016799451,0.005361106,0.002207597,0.014322797,0.003231186,0.003270068,0.004610186,0.002216344,0.021727399,0.003030766,0.006527082,0.007431428,0.002706549,0.00253071,0.009128483,0.002771628,0.003057043,0.036308593,0.006886834,0.001559605,0.00202717,0.009588098,0.004079159,0.005382011,0.011876844,0.008341622,0.002287908,0.00472558,0.003156513,0.00346842,0.002808916,0.004286432,0.004966927,0.003021897,0.00479725,0.003230037,0.061097167,0.00297702,0.00957854,0.007048272,0.005753635,0.02392452,0.008011132,0.007007796,0.00447368,0.002996826,0.010573333,0.022271473,0.003555625,0.053461158,0.001810287,0.003289583,0.005345395,0.007498327,0.00310617,0.012890919,0.004042363,0.004021931,0.009875789,0.003059326,0.006299475,0.004453637,0.035831701
420,plate_2_217,plate_2,iRSK_EGF,2,0.276393932,0.004169038,0.001658614,0.001502384,0.004259408,0.006252131,0.017162256,0.00444408,0.001296187,0.016146874,0.002506237,0.002334277,0.003332358,0.00174511,0.054342891,0.002546316,0.005577539,0.005686615,0.002288549,0.002127052,0.039277628,0.00237369,0.002277439,0.024499404,0.00546638,0.001326946,0.002838576,0.007811545,0.003281448,0.00340159,0.014886916,0.006229666,0.00172969,0.003468276,0.001754499,0.002778896,0.002410363,0.004478151,0.003229664,0.002478703,0.003259879,0.002060998,0.070216867,0.002328069,0.008883994,0.005114383,0.004377755,0.016282286,0.004166106,0.006408614,0.003160581,0.002578917,0.010702548,0.03682089,0.002251507,0.04800533,0.001428812,0.002465766,0.004305523,0.004731586,0.002599344,0.014801009,0.004561186,0.00300259,0.003019134,0.002298035,0.006465529,0.008450107,0.03757705
421,plate_3_217,plate_3,ip70S6K_EGF,7,0.486000239,0.00410616,0.002460285,0.002328695,0.004347098,0.011718268,0.019002264,0.00529266,0.002333655,0.015123,0.003383614,0.003612731,0.005243207,0.002617983,0.021450139,0.003595836,0.007118553,0.00568516,0.002583139,0.002950527,0.037873198,0.003166942,0.003660415,0.034833424,0.00646242,0.001756772,0.002807367,0.010128654,0.004173346,0.005058555,0.010944603,0.007649955,0.002657014,0.004471071,0.00345506,0.003090402,0.002199626,0.003426546,0.003998144,0.003645874,0.003692768,0.003614019,0.050703208,0.00323353,0.012630629,0.006809271,0.005732457,0.020318129,0.004643477,0.006189963,0.004064675,0.003577782,0.01335739,0.019968002,0.00390723,0.042184508,0.002611974,0.00345203,0.005513492,0.005504121,0.003096988,0.013273452,0.004117421,0.004967119,0.005110557,0.003106118,0.005296561,0.004992908,0.030155476
422,plate_7_217,plate_7,ip70S6K_EGF,5,0.424817682,0.003759304,0.002277582,0.00215141,0.004504411,0.008329676,0.016701845,0.005334137,0.002622324,0.012511962,0.003590187,0.003518641,0.00447393,0.002656774,0.019319693,0.00316868,0.007031672,0.005712637,0.002753587,0.002319171,0.040372017,0.002617979,0.003310066,0.030387136,0.006077057,0.001530861,0.00224157,0.01037539,0.005246974,0.004693934,0.011867848,0.009245475,0.002507788,0.004450858,0.003651676,0.003344619,0.002815105,0.003847735,0.003934712,0.003597596,0.004140758,0.002929471,0.06917791,0.003500924,0.014459764,0.006851896,0.005110873,0.018278237,0.004826019,0.006739484,0.004411265,0.00353285,0.024186031,0.020424514,0.003683173,0.043915098,0.001842495,0.003473892,0.005428279,0.005981995,0.003303218,0.013754173,0.004467456,0.004208175,0.003155355,0.003370455,0.005870462,0.004745833,0.030954594
423,plate_10_195,plate_10,EGF,7,0.489540214,0.004420521,0.002030928,0.002372422,0.005529309,0.006533725,0.019804037,0.004638494,0.00190194,0.015211891,0.003349349,0.00358771,0.004956268,0.002313586,0.016369527,0.003098715,0.00650752,0.006513684,0.003133832,0.002458499,0.009571373,0.002814204,0.003200853,0.033691484,0.00674457,0.001401077,0.002619335,0.010933296,0.004349215,0.004335693,0.01319596,0.008351878,0.002719153,0.004095518,0.003153999,0.003384317,0.00224091,0.004933191,0.005183226,0.003683277,0.004709973,0.003455514,0.058572962,0.003570801,0.011116174,0.007085433,0.005625317,0.021266654,0.005964948,0.006755796,0.004329294,0.003385958,0.009550094,0.022362213,0.003384931,0.057909393,0.002610572,0.003438832,0.005236379,0.0053504,0.003264864,0.011608901,0.004165646,0.004223506,0.008466723,0.005321769,0.006495402,0.005514667,0.03252263
424,plate_12_195,plate_12,iRSK_EGF,8,0.290957398,0.00429985,0.001710537,0.001619331,0.006993554,0.004315336,0.017831359,0.005168829,0.001772885,0.017821511,0.002616969,0.002405937,0.003847418,0.001598714,0.041429905,0.002849736,0.005815583,0.006402612,0.002454348,0.002899093,0.009267842,0.002104261,0.002755461,0.028283,0.005027942,0.001705818,0.003364357,0.009855386,0.003611258,0.003587567,0.016667074,0.006222687,0.001933531,0.003315347,0.002587046,0.003831255,0.002971575,0.005032412,0.004163381,0.00294793,0.003070056,0.002397317,0.090909074,0.00246116,0.009195358,0.005586575,0.00450331,0.018826295,0.003585494,0.007853665,0.004134987,0.003453843,0.009353816,0.025774121,0.003012478,0.035529705,0.00201413,0.002951703,0.003845207,0.004219727,0.00561636,0.014734213,0.005913134,0.003567723,0.003642361,0.002784572,0.008704134,0.009001882,0.046399667
425,plate_13_195,plate_13,iRSK_EGF,2,0.274220238,0.004005761,0.0018589,0.001574349,0.006704898,0.004828563,0.015990411,0.005112032,0.00144695,0.01742256,0.002505613,0.002751351,0.003414257,0.001677289,0.026183892,0.002891075,0.006582889,0.005935029,0.001821539,0.002813812,0.049320633,0.002388089,0.002215827,0.026073735,0.004566025,0.001565892,0.003124744,0.008796724,0.004089912,0.004108386,0.013706477,0.008236848,0.00209534,0.003486587,0.002216261,0.003587462,0.00252357,0.004376402,0.003778065,0.003143013,0.003152766,0.002683152,0.037574663,0.002228109,0.008015085,0.00507312,0.004815821,0.017723717,0.004845331,0.006622748,0.003015869,0.003104235,0.010567015,0.040697179,0.002845574,0.061815666,0.001674451,0.002224664,0.004451433,0.003984132,0.007262883,0.012834452,0.005004954,0.003712741,0.001736056,0.002717924,0.009003956,0.007621263,0.043867711
426,plate_3_195,plate_3,ip70S6K_EGF,3,0.323936729,0.003980577,0.001867306,0.002180805,0.004839117,0.0082475,0.016391783,0.005320796,0.00199645,0.016978498,0.002799696,0.003638674,0.003592799,0.00219065,0.024061292,0.003018541,0.007044574,0.007494401,0.003330362,0.002675411,0.057948736,0.002645296,0.003532395,0.026334877,0.00754207,0.002097815,0.002773842,0.008888691,0.005425125,0.005482185,0.013926609,0.010131957,0.002578019,0.00385749,0.002610249,0.003747558,0.002840977,0.004304936,0.003462012,0.003877122,0.004265608,0.002430867,0.158038459,0.003251225,0.013121566,0.006518244,0.005882577,0.01857066,0.005096587,0.007483411,0.003706054,0.003467498,0.012764772,0.036216241,0.002891532,0.031409381,0.001951603,0.003730556,0.00544825,0.007899106,0.003337603,0.01512245,0.003816887,0.003448001,0.008032508,0.003090147,0.005950669,0.005002738,0.04042006
427,plate_7_195,plate_7,ip70S6K_EGF,1,0.356590265,0.004541421,0.002078992,0.002017212,0.004826635,0.014735311,0.013764207,0.004759398,0.001821444,0.014689837,0.002342207,0.002858304,0.004231486,0.001942075,0.027430733,0.002735128,0.006662473,0.006180538,0.002352673,0.00218081,0.050950088,0.002409725,0.003345187,0.019325044,0.006967381,0.001559574,0.002324494,0.007037953,0.005224263,0.005181529,0.013797061,0.006519172,0.002253952,0.004193098,0.002493371,0.003072944,0.002569078,0.00435949,0.003626904,0.003833186,0.003948576,0.002553172,0.10743355,0.002764222,0.010928441,0.006328996,0.00557914,0.018079703,0.006952891,0.007504151,0.003424134,0.003065172,0.012701707,0.031159525,0.002811365,0.042840823,0.001949062,0.003093732,0.004372378,0.006773497,0.003027897,0.013967983,0.003799094,0.004103662,0.003322238,0.002793472,0.005533965,0.003527753,0.041442011
