"","sample_id","plate_number","treatment","ITGB1","MAPK_P38_P2","PLC_G2_P","STAT5_P","LRP6_P","H2A_P","KALLIKREIN_6","EPHRIN_B3","PLC_G1_P","SMAD3","MTOR_P","NFKB_P65_P","FAK_P","CDC2","STAT1","EGFR_P_Y1173","IKBA_P","KLF4","JAK1_P","RSK1_P_S380","RB_P","FAK","EGFR_P_Y1045","FRIZZLED_3","CREB_P","NOTCH_3","ERK1_2","MAPK_P38_P","RSK1_P_T359","AKT1_P","BMP2_4","CMYC","SMAD1_5_9_P","NOTCH_2","NICD","JNK","BMPRII","IKBA","GAPDH","AKT123_P","RELA_P","STAT1_P","RIBOSOMAL_S6_P","SMAD1_5_P","H3_P","MKK3_6_P","RNAPOLII","SRC","CFOS_P","STAT3_P","CYCLIN_E","CDK4","CYCLIN_B1","P63","IGFBP_3","NOTCH_1","SMAD2_3_P","RELA","SMAD1","GSK3B_P","ERK1_2_P","MAPK_APK2_P","JAGGED_1","AKT2","TGM1","SRC_P","JNK_P","CJUN_P","JAK1"
"64","plate_12_190","plate_12","ip70S6K_EGF",1.04758077828827,-2.17276186000768,0.0119680724047009,-0.262131753749432,0.415851797323501,-0.539516384053368,-0.443470610573677,1.22037325102359,0.305635057150738,-1.14581682762102,0.062843882758326,-0.740503039005344,0.633452870745761,-0.465221069554677,-0.0346379141001245,-0.197935861354924,0.930356803292409,0.106305900995321,-0.441809477240599,1.2396227046924,-1.68455267361651,-0.61319217785302,0.584491810248025,0.393468089183495,-0.120132726817514,0.299681430524886,0.597779723760208,0.246799258580251,1.45217474564786,-0.791539812208049,0.0548790260271806,-0.429905516983944,1.06650028521931,0.747630302525268,-0.235995608614793,1.28950519687185,-0.727290191480694,0.488344577268521,-0.482515341754382,0.0148272886638547,1.4896857759001,0.684958398624284,-1.77284532495374,1.06148601977375,0.691148372243011,1.22013172302545,-0.206795144128455,0.0189052520936117,1.3579474579479,0.329001455871771,1.0153712335917,1.27178766946089,-0.49962795546109,-0.618693000753011,0.374452141112267,2.33816315920648,0.966046113740146,0.741434929170721,-0.384482669650281,-0.482843649912518,-0.966098641891786,-0.777120499861222,1.14749006603143,0.790136225329901,-0.0892062762155465,-0.377932354842244,-0.0295772292856889,-0.968351192564425,1.29055637370588
"65","plate_2_190","plate_2","iRSK_EGF",0.261322121237787,-0.672658940891075,0.637379302613451,1.51502294088948,0.893498263299217,-0.155290771011995,0.591244586616964,1.61479308014009,1.11835895214214,-0.925891827550159,1.75875514102356,1.726124545986,1.3653316237415,0.833447374159541,-0.73436268493212,0.745894681548865,-0.491092017763256,-0.219935454477308,1.21066451574444,1.44154671924523,-1.26410588377614,1.21526882786285,1.00874033785455,0.256445171535308,-0.0345527098979214,0.584268803197033,0.10787792491028,1.6641266167148,0.0955018871866184,1.75185699148104,-0.53138979838663,-0.496091519460291,1.97121436225627,-0.374759235781113,1.59209415958909,0.073072921432301,-0.27324545024485,-0.338327514062599,-0.123004492940709,0.544257264147117,0.840631898717086,2.13296487608882,-0.667023659748441,1.50219012675091,0.283508110452751,-0.323112185072058,0.501049501243931,-0.209224206243031,0.228398049994581,0.146299697417806,2.50986789354446,0.806398846405063,-0.131984838157697,-1.22089159594534,0.645547765590708,-0.224762461486551,1.40364320020048,-0.658066722329485,-0.214090704156899,-0.816204524586064,0.514292130019022,0.315555631578624,-0.0917751622915731,1.40084874691804,0.0051378139362333,1.35532503586828,-0.264571786253702,0.411443227466933,-0.842110467867325
"66","plate_3_190","plate_3","EGF",-0.0297247951968216,-0.0800394846964442,-0.417900998561507,-0.935875408301054,-0.177837288931756,-0.00467013932486467,-0.0967265053754522,-0.35960598565157,0.183529414894728,-0.652967289713216,0.46776823297029,0.10300588055599,-0.349803683746141,-0.745948179730152,-0.368166305427122,-0.227181928905416,-0.0768360944531292,0.683039119684932,-0.41758550891884,-0.679682371750028,0.735539194820257,-1.10347253184374,-0.277539892444953,-1.57919279679313,-0.620633357683411,-0.90512949713452,-1.26020509447161,-1.00144143761192,-0.661328236859554,0.663488113872178,-0.445726120187239,-0.139300022578495,-0.229120233841886,-0.440294357250967,0.126798107094811,-1.48786988282865,-0.0583766992716932,-0.0199450210010294,-0.744601694456956,-0.346315579963266,0.387408386766068,0.642121670474283,0.926402828505068,0.357501027824132,2.17762286667881,-0.554172141857631,0.289930823667581,1.04046333364578,-0.52094809095021,0.68787053306143,0.353241311680189,-0.515347844293176,3.24446887942921,-0.74821799178749,-0.581620038768741,0.34515819708059,-0.993328911784406,0.135684681560199,-0.148038238047653,1.49184032262604,-0.769585001331107,-0.505918830640437,0.0798154885589147,0.0506811969541979,-0.18422965757013,0.212085496140407,-0.530516705316332,-0.318463305415494,-0.54278946783307
"67","plate_4_190","plate_4","iRSK_EGF",1.00780566859871,1.81686238092322,0.196482073704956,0.104803493770318,-0.367420268995619,0.191508724124487,1.24000638692143,-0.0406361020721567,0.427530907935703,-0.440934671263729,0.256822772400542,0.136837148902407,0.633382079243868,-0.986642619756087,-0.399665530895183,-0.18516374370136,-0.576720102445461,-0.129607981259964,-0.640512989056646,0.340181188153527,-1.22865464060227,1.27051016860528,-0.778365897713127,0.604733987658225,0.773478624663914,-0.259994366941714,0.222619592127286,1.69382608911115,-0.824045533416666,0.22103919576658,-0.287908977830536,-1.18068080746005,0.27648052713845,0.171342509395373,0.26577925360988,0.0047498411664551,-1.72032422343584,0.119214159733978,-0.507193545741658,-0.603319940516088,-0.0882314915826119,0.227374290111819,-0.0435291346704549,0.40754073236352,0.114566945179357,-0.584713887283356,-0.543545677283573,-1.1790621442824,0.359158394734466,1.58541752524663,-0.519836103151776,-0.331212029124194,-0.446305137492124,-0.2929743262138,0.766305946287571,-0.326044654558381,0.224320617940631,0.389792140297097,-0.832517891445103,-0.882076755911475,0.755711210043579,1.20860070575265,0.982758102465908,0.622407966506447,-0.244096138044721,-0.722412607699213,-0.0527981777390185,1.29193240751406,0.531697449626637
"68","plate_7_190","plate_7","EGF",-0.259111459386057,-0.544327673231522,-0.647310322353556,-0.677047864076822,-0.80430190634052,1.29998774905296,0.9417664756395,-0.23070113503158,-0.110006599840934,-0.981101140246974,0.425731520204881,0.497063534814031,-0.374105205162741,0.375059889559402,-0.957624057883801,0.153635581763975,0.100618033094156,-0.923977521755832,-0.327082485917099,-0.866370375396965,0.918426386481102,-1.69239080803103,0.282880726329319,-0.042077564711743,0.170257467649875,-1.18892245324686,0.497563322416063,-0.648633573217366,0.506117756469042,0.246527271804298,-0.938252284755326,-0.442379498010285,-0.469843305401502,-0.51472453416679,0.58218332825238,0.170907569034505,-1.06273764943493,-1.51875537538841,-0.126311230662491,-0.632557465302281,-0.211861921044492,0.534774679756959,0.0599825124506251,0.69348692786292,2.34300291340825,-0.70116080071828,0.0900909351141683,-0.481596722725813,-0.377801026729446,-0.640332768855608,-1.07218737879477,-2.10535478519789,0.0311040783270125,-0.812131902053076,0.459794869862212,-0.00682588767958858,-0.674961538365888,1.55916375909271,-0.592584864172737,-0.6075214548706,-0.881258094332454,-0.441834884264905,0.89552944626771,-0.189432924549943,-0.294967222908146,0.297255241393759,0.0957132479465857,1.89482308749925,-1.1549033466062
"69","plate_9_190","plate_9","EGF",-1.20771166948966,-0.534115052929039,-0.433084718983641,-0.843883468189891,2.29096727366045,-0.601279042243927,-0.929670311115081,-0.824617908561493,-0.500205765191019,0.873358383028655,-1.05577116759826,-0.982582276004103,-0.509229091823577,-0.910053602569904,-1.16080033456555,-0.386294739494516,-0.282011140409458,-2.31954157286585,-0.908523534162202,-0.809401930455779,1.92578526361098,-1.64247618859513,-1.33109227936376,-1.06133204029268,-2.14072399001369,-0.807743168579338,1.39726778061319,-1.75752520805078,-0.0801957921558326,-1.38214238447748,1.31794555610024,1.90336511008377,-1.1850169676673,-1.45794743716697,-1.27382253991543,0.439326974657146,0.795478076893,-0.880852382730056,0.0683679510085731,0.758415673708019,0.231916787195887,-1.38913795921845,-0.926442078995658,-1.17692285572389,-1.53306432377422,-0.103002361484271,0.823320014495346,0.355116041049978,-1.63849824616602,-2.7738559940852,-0.677391439748958,-0.206688841788328,-0.291150421058531,2.09281399092562,-1.24232063478751,0.988026604737302,-0.846647208964614,-2.68607856270355,-0.558839976347319,-1.51527159475736,-1.08354823965219,-2.42653708786422,0.312672315448004,-0.98491822567321,-0.50325214271137,-1.08174802488977,1.34692089706368,-1.17334552339786,-1.01170527206373
"70","plate_13_173","plate_13","iRSK_EGF",0.217756938658505,-0.933642979288737,-0.597577605811396,-1.57125735829655,1.16073829283293,-1.15808057887261,-0.752280930146167,-0.173219410233103,-1.10231105756124,-0.866678425140176,-0.871142569810714,-0.747754876113263,0.049910951697114,-0.374969183917411,0.198146706084739,-0.25342491067723,-1.30140601662628,-0.00618461969335346,-1.47086959199976,0.792021539093223,-1.36473633157781,0.0513779407193241,-0.403857962824906,0.828449677066436,-1.04045589016399,-0.112635320837358,1.6885151263259,2.21813675456018,-1.40972407139919,-0.752431008892509,5.7774379127928,-0.541125785688056,-1.25480707566532,-0.753363476522896,-0.111027281755069,-0.506034489103317,-0.131160296559466,0.986657973204243,0.990618799192755,0.0425997379996404,0.985594303534514,-0.691641655462967,-1.67033409561704,-0.399812704433536,-1.01321356372933,-0.538400780985862,-0.191835452719345,0.275460829988807,1.03431750527088,-1.27280516757344,0.0144684606115539,0.739029047824052,-0.52809491336785,1.82713182996351,0.458245870296493,6.74710363003761,-0.101971792439854,-2.0953454942955,1.41956169529807,-2.10974718356154,0.641661237073198,-2.29792898037731,-0.00138954825232432,-0.054197080243441,-0.435142122341762,-0.465542904839457,0.907304961984406,-0.70511050154628,-1.68214948264719
"71","plate_4_173","plate_4","EGF",0.400912891738848,0.389370739400424,0.0663704543940051,0.836140503282085,0.201025604900901,-0.200232476081793,0.363708881952564,1.44083732034759,0.754633638310026,-0.761443160570631,-0.636376196548734,0.174945476741291,1.52919377945225,2.37595479308188,-0.848184789927095,0.826315614729534,0.577277968541547,-0.620448653360623,0.771342391563031,0.894091480957226,0.420470042220081,-0.659829084328552,-0.116858199901076,-0.381918780184774,-0.0199995110939492,0.373989978897005,-1.21225388682536,-0.10980201935338,0.523675305054953,-0.0879085137421954,-0.491604102732426,0.753707297884719,0.0309859387950558,0.463864180671606,0.822966192953483,-0.131395156128742,-0.727607928856515,-0.868494233767732,-0.0520682184299491,0.598786231781567,-0.0294502442213105,-1.0941189981478,0.482491656574755,1.35510953174438,0.743471320749052,-0.0337417165703607,-0.520540317719513,0.384171901977638,0.882627012611218,-0.580002052912424,-0.0185892334289354,-1.33037244116786,-0.491611359721838,-0.757046210081387,0.94458387235928,-0.335313961044144,-0.83844157447572,0.161943160014877,-0.661581704040316,-0.227370669969688,-0.352586219759682,-0.573138057825545,0.273038338431748,1.16411183562951,-0.167249049650124,1.79939631893709,-0.481604844986045,0.705510923154338,-0.655828383831571
"72","plate_10_187","plate_10","iRSK_EGF",-0.37096388941979,-0.0631552711034477,0.178008039026858,0.39883405826451,3.14846659536391,-0.769233571779123,-0.571630025230847,-0.421061296512279,-0.585787952476057,0.621497495387778,-1.21175160775531,-0.176579898549232,-0.881852975820311,0.410051944106128,-0.580887221523392,0.114726579792421,-1.29746587637204,-0.398533338205421,-0.180261505021085,0.228535923957919,1.2692588167077,-0.0672186828753124,-0.820940726552973,1.6152765817958,-1.63143528331601,-0.340620118179436,1.14625424450209,1.83891626614674,0.132280263283926,-1.66601515350247,1.34465338936787,0.627451688955059,-0.530042439414904,-0.728852357396132,-0.865699403366749,2.00732981006666,2.31941992219035,0.132623400716612,0.943419239664136,2.03062626423206,0.541325777039698,-0.0303110839421517,0.231621364160245,-1.33874423617201,-1.22307111247916,-0.955952733543032,-0.192159054624439,1.66901107033901,-1.45435725167639,0.861803738336798,1.57311772078942,2.51955004445737,-0.556678332262975,1.12224466167298,-0.545517007012432,-1.42595411079387,0.399258548107278,-1.12937114291848,-0.811642608519011,-1.73865707383235,2.62692776301811,-1.72881248073945,7.35514640177982,0.0699020434114378,-0.18431255256273,-0.737523180816053,2.61439109556507,0.623965101620141,0.231188909291767
"73","plate_13_187","plate_13","ip70S6K_EGF",-0.150265873546296,-0.131324287361269,-0.638692625077037,-0.716175566790719,1.64071388593362,1.00117930249303,-0.805097911222146,0.13398395331741,-0.0748674511272245,-1.05473857419667,0.262224869401095,0.0558997101143549,0.286890188729801,-0.56789105240919,-1.13118347883749,-0.342458019589532,-0.13506257029568,-1.79979452525774,0.654441446435964,-1.47671363398621,0.970739161279334,-0.692493213368667,0.236589580278704,-0.0125351521110207,-1.45502148433806,-0.653139345359238,0.218127461337958,-0.641336540804203,0.708079384016865,0.500187512579161,0.060939335085998,0.571401737334292,-0.58908886052013,-0.617572227527119,-0.80992840476275,0.0654343838162648,1.11777208803383,-0.105818046030072,0.876949502980527,-0.616925135828866,2.66430578199094,-0.216361953806304,-1.16545826119244,0.302511909362701,0.408027798262826,-0.445725056825979,-1.30399218929996,-0.816742465549723,-0.411697500197317,-1.33182769140361,0.694488916027278,0.544790619708229,1.70045338271585,-0.129482536583991,-0.0600108202262168,-0.899255981224873,-0.0476678323605083,-0.81803495137206,0.105591640317398,-1.28221102844926,-1.06328326190234,-0.466830307903563,0.0979341576864881,-0.252599263578465,-0.344024535079725,-0.329613915651938,0.0338911587638277,-1.61830464574717,0.478332533014084
