	1	2	3	4	5	6	7	8	9	mean
p_ip70S6K.EGF_RPS6	-0.25396401792102047	-0.012481635971386178	-0.2196751864880048	-0.31767161860902804	-0.2804377045913273	-0.3683569608260503	-0.16675435357657456	-0.15733061982053265	-0.34241534195760703	-0.23545415997350347
r_BMPR_BMP	-0.7567227836929695	0.23758546616634302	-0.10466612438324821	-0.06023983220047634	-0.1496869624544193	0.22839899314935425	0.20624900249378386	0.22509260794362726	-0.010536441810112328	-0.020502897198679697
r_CJUN_ERK12	-0.10450658690233353	-0.019912019068961243	0.06359091044394262	0.04580869785766523	0.030578000277790705	0.49285885514403605	0.3386891060379463	0.08009187634541837	0.3048971443514335	0.136899553831882
r_CJUN_JNK	0.475330993855249	0.2408288304502818	0.19816774427057296	0.35843834591633755	0.48779295666451455	-0.07591528256135946	0.2006313802529625	-0.06565742696864013	-0.28771152874830963	0.1702117792368455
r_CJUN_MAPKAP2	0.5132727203317557	1.0525395921246934	0.6295182646982755	0.6482946107179296	0.7890629283768862	0.5910997631133194	0.5459481894086321	0.707966257304553	0.4602288181696969	0.6597701271384158
r_CREB_LRP6	-0.10531404943392382	-0.6511420744463133	-0.9389333070863726	-0.6167802469305297	-0.6392672791795097	-0.28474059039586824	-0.5495798636058732	-0.6654891685669958	-0.4322755644471596	-0.5426135715658384
r_CREB_P38	0.6961339134667468	0.13405822776254916	0.42575721155180835	-0.19681718055697867	0.20979244018451182	0.15761288889075425	-0.14759656218399062	0.07626871047326392	-0.35338833528853164	0.11131347936668148
r_CYCLINB1_MAPKAP2	0.20071384286174818	-0.12288426037258073	0.5322369682543246	0.1048053566655593	1.1120121297442944	0.6464864850935762	-0.09833879810248	0.04389150142664221	-0.13332842008433324	0.2539549783874168
r_CYCLINB1_MKK36	0.04680596289614929	0.030588836287024967	-0.3535247897445542	0.05126201395988887	-1.807931842314624	-0.6232518995919639	-0.025288080323173114	-0.09519601885189811	0.49208463584938084	-0.253827909092641
r_ERK12_EGFRY1045	-0.3069884536761427	-0.3675475938533289	-0.12803364551604485	-0.5495686278450291	-0.933865841934548	0.16276312546961166	-0.3829504597055061	0.9499593409330469	0.5286283375360623	-0.11417820206576433
r_ERK12_EGFRY1173	-0.1481828460316713	0.545327598695948	0.01027916492018852	-0.04259056324075296	0.05874724483871302	-0.05995074877031872	0.109173158671302	-1.0969006047593135	-0.2491888550217144	-0.09703182785529103
r_ERK12_MAPKAP2	0.5566431066272564	0.838782807103435	0.939377210092776	0.7147141483226684	0.9216570528663777	0.6700223296348077	0.36834987288490795	0.28060803935545164	0.2333014900282967	0.6137173396573309
r_ERK12_MKK36	-1.0062227764457055	-1.0363286137492882	-0.5749270349469712	-0.4891345071608478	-0.24621527484600442	-0.5658439037898161	-0.6520493129398183	-0.85532565450125	-0.6490355074098721	-0.6750091761988415
r_ERK12_RPS6	-0.20215078938404352	-0.3397594874370442	-0.1868718883159055	-0.1740969310142497	-0.07040753689606359	-0.1476828797064397	-0.023349642538218196	-0.3571266867744869	-0.32228070525948854	-0.20263628303621553
r_H2A_CREB	-0.08367255663560433	0.17227249086374272	0.878168746589365	0.5623018593026811	-0.01668344700278612	0.3362027156567332	0.18046143434900114	0.34843308894354535	0.5235222132692122	0.3223340605928767
r_H2A_FAK	0.7803582030062924	0.1770789030207936	0.24309164357734725	0.7433628175189638	1.051365305648068	0.12380166928170531	0.7725146669081745	0.18444455717812208	0.4125567133780178	0.4987304977241649
r_H2A_RB	0.3210285627253844	0.2692888019262763	0.5081891238218599	0.07310174111401577	1.2080621000663196	0.5016453659690563	0.17635928876549706	0.10263563982799764	0.07843496869846148	0.3598606214349854
r_H3_CREB	-0.021513236808425505	0.4047627564966919	0.4328233824682706	0.4715287566559219	-0.23816431807221025	0.5344244876368511	0.10631882925713156	0.5787818690944266	0.8545823065265948	0.3470605370283615
r_JNK_BMPR	0.029450814156132515	-0.04145717536795699	-0.1720254680889746	0.24783496222056328	0.22198983006027662	0.2905019421307633	0.1275261199326684	1.4697531940800765	0.18977722740404146	0.2625946051697323
r_JNK_LRP6	0.32251665359492515	0.6719005583627699	0.588767614866744	0.5209087086616477	0.4409920710216375	0.13643482000273777	0.2227051607162137	0.037049218600201196	0.6767036338649987	0.40199760441020843
r_LRP6_BMPR	-0.26864945075139346	0.8247519061902432	0.5110807496802627	1.398255807364003	0.4893453513860242	0.22007526987230538	0.3557612408602537	0.5049977872871674	0.6687870378534996	0.5227117444158185
r_MAPKAP2_LRP6	-0.4669789214325939	-0.5871173283285234	-0.4592976141901129	-0.5549622308739645	-0.31216247334018826	0.09425631965177188	-0.6387305663573615	-1.0649779556012569	-0.3715616558730873	-0.48461471403836853
r_RB_CDC2	0.22423422402767745	0.3133462123616697	0.051687049876528	-2.444252311745737	-0.06812033393111384	-0.26755635194014443	0.7052104569479597	0.5192060386928065	0.547201502737465	-0.046560390330320986
r_RB_CDK4	0.603984925647685	0.7215988796807294	0.07576487741311118	-0.8349543994877299	-0.28682815306511167	-0.019802290724381038	1.9217789836481445	0.14581386153215523	-0.7887221412059271	0.17095939371540847
r_RB_FZD	-0.536576071021587	-0.4341870059933704	0.05995619039539973	-3.280270142189899	0.06475743584400198	0.06998903440657493	0.21950714767079538	-0.2650000342418567	0.141991372787934	-0.43998134137133416
r_RB_RPS6	0.14257308288965406	0.3695910354215259	0.1786481286228046	-0.5495390542502562	0.17741297216026133	0.20886957801044534	0.5679634028183931	0.7976953195235037	0.7358408602333645	0.2921172583810774
