	Edge	Cluster	Deviation	pval	zscore	fdr
r_CJUN_MAPKAP2	r_CJUN_MAPKAP2	8	0.04819613016613722	0.8141858141858141	-0.3037861183166583	0.9443567584831525
p_ip70S6K.EGF_RPS6	p_ip70S6K.EGF_RPS6	3	0.015778973485498865	0.8161838161838162	0.20195153547959427	0.9443567584831525
r_JNK_BMPR	r_JNK_BMPR	9	-0.0728173777656917	0.8211788211788211	-0.23292276371819914	0.9443567584831525
r_RB_FZD	r_RB_FZD	1	-0.09659472965025284	0.8271728271728271	-0.22563869594739072	0.9443567584831525
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	6	0.056304989977476905	0.8271728271728271	0.6913388058589041	0.9443567584831525
r_H2A_FAK	r_H2A_FAK	9	-0.08617378434614753	0.8291708291708292	-0.03179944060515071	0.9443567584831525
r_RPS6_RSK1T359	r_RPS6_RSK1T359	1	0.05627650362037362	0.8291708291708292	0.39906709648558697	0.9443567584831525
r_RPS6_RB	r_RPS6_RB	9	-0.031093145306938907	0.8301698301698301	-0.2894310092418701	0.9443567584831525
r_STAT1_SRC	r_STAT1_SRC	8	0.028610660912239405	0.8341658341658341	0.3292845585365777	0.9451798201798202
r_CREB_P38	r_CREB_P38	8	-0.03504476889341729	0.8381618381618382	-0.1610327297438012	0.9451798201798202
r_CJUN_JNK	r_CJUN_JNK	7	0.030419601016117293	0.8401598401598401	0.07934119525191585	0.9451798201798202
r_LRP6_BMPR	r_LRP6_BMPR	5	-0.03336639302979455	0.8441558441558441	-0.4494549850134106	0.9461966604823746
r_RB_CDK4	r_RB_CDK4	3	-0.09519451630229807	0.8561438561438561	-0.17096469450213436	0.9525257351344307
r_BMPR_BMP	r_BMPR_BMP	4	-0.03973693500179653	0.8591408591408591	-0.231633778614374	0.9525257351344307
r_MAPKAP2_LRP6	r_MAPKAP2_LRP6	3	0.025317099848255253	0.8591408591408591	0.06360506805426284	0.9525257351344307
r_CREB_P38	r_CREB_P38	2	0.022744748395867778	0.8651348651348651	0.18329365618554347	0.9557085513764214
r_ERK12_RPS6	r_ERK12_RPS6	3	0.015764394720310382	0.8811188811188811	0.23367312243980717	0.966423050633577
r_CJUN_MAPKAP2	r_CJUN_MAPKAP2	3	-0.03025186244014011	0.8841158841158842	-0.1883284292584264	0.966423050633577
r_CJUN_JNK	r_CJUN_JNK	3	0.027955965033727548	0.8881118881118881	0.16498265383898655	0.966423050633577
r_ERK12_EGFRY1173	r_ERK12_EGFRY1173	1	-0.05115101817638053	0.8911088911088911	-0.0998957327498319	0.966423050633577
r_JNK_BMPR	r_JNK_BMPR	5	-0.040604775109455565	0.8941058941058941	0.11158832214989182	0.966423050633577
r_RPS6_RSK1T359	r_RPS6_RSK1T359	3	-0.02255772433890524	0.8971028971028971	-0.12958719459085438	0.966423050633577
r_JNK_BMPR	r_JNK_BMPR	6	0.027907336961030593	0.9000999000999002	-0.1651994646913363	0.966423050633577
r_ERK12_EGFRY1173	r_ERK12_EGFRY1173	6	0.037081079084972	0.9000999000999002	-0.04287009712459319	0.966423050633577
r_ERK12_EGFRY1173	r_ERK12_EGFRY1173	4	0.05444126461453921	0.9070929070929071	0.13453289386612505	0.9705259775189845
r_MAPKAP2_LRP6	r_MAPKAP2_LRP6	1	0.017635792605774303	0.919080919080919	-0.06231296887525661	0.9738842238842238
r_LRP6_BMPR	r_LRP6_BMPR	8	-0.017713957128650315	0.9230769230769231	-0.2643550771217427	0.9738842238842238
r_RPS6_MTOR	r_RPS6_MTOR	5	-0.029894735852700506	0.929070929070929	-0.21430290226571413	0.9738842238842238
r_LRP6_BMPR	r_LRP6_BMPR	3	-0.011630994735556621	0.929070929070929	-0.060512538542738255	0.9738842238842238
r_H2A_CREB	r_H2A_CREB	8	0.02609902835066852	0.929070929070929	0.2730465306806931	0.9738842238842238
r_ERK12_MKK36	r_ERK12_MKK36	7	0.02295986325902344	0.9300699300699301	-0.5565149731771274	0.9738842238842238
r_ERK12_MKK36	r_ERK12_MKK36	9	0.025973668788970006	0.935064935064935	-0.33771148807207846	0.9738842238842238
r_RPS6_RSK1T359	r_RPS6_RSK1T359	9	-0.021932992528250095	0.9410589410589411	0.20410980005536292	0.9738842238842238
r_RPS6_RB	r_RPS6_RB	8	0.008302339964461725	0.9410589410589411	0.06089602376321046	0.9738842238842238
r_RPS6_MTOR	r_RPS6_MTOR	4	-0.019385608461662894	0.942057942057942	-0.011549162577794233	0.9738842238842238
r_CREB_LRP6	r_CREB_LRP6	7	-0.006966292040035182	0.957042957042957	0.5951345292912799	0.9764117461485883
r_RB_CDK4	r_RB_CDK4	8	-0.025145532183253494	0.958041958041958	-0.1982000819029685	0.9764117461485883
r_RB_CDC2	r_RB_CDC2	5	-0.02155994360079279	0.9590409590409591	0.02138193936450537	0.9764117461485883
r_CJUN_MAPKAP2	r_CJUN_MAPKAP2	4	-0.011475516420486054	0.9590409590409591	-0.029900727680448016	0.9764117461485883
r_JNK_BMPR	r_JNK_BMPR	4	-0.014759642949169954	0.967032967032967	-0.028157283837105022	0.9764117461485883
r_BMPR_BMP	r_BMPR_BMP	9	0.009966455388567889	0.967032967032967	-0.04162586455553929	0.9764117461485883
r_ERK12_EGFRY1045	r_ERK12_EGFRY1045	3	-0.013855443450280308	0.968031968031968	-0.027542351898200597	0.9764117461485883
r_H2A_CREB	r_H2A_CREB	6	0.013868655063856539	0.97002997002997	-0.03473698690349785	0.9764117461485883
r_RB_FZD	r_RB_FZD	2	0.005794335377965365	0.9920079920079921	0.013400524709340576	0.9952604772276904
r_ERK12_RPS6	r_ERK12_RPS6	1	0.0004854936521719033	0.998001998001998	-0.2431603681189534	0.998001998001998
