antibody	type	cluster	intensity
MAPK_P38_P2	Cell state marker	C7	0.02604458302156445
MAPK_P38_P2	Cell state marker	C8	0.0514422754026695
MAPK_P38_P2	Cell state marker	C9	1.49525327714224
NOTCH_1	Cell state marker	C1	-0.299496150146382
NOTCH_1	Cell state marker	C2	-0.136559709523722
NOTCH_1	Cell state marker	C3	-0.732722565256042
NOTCH_1	Cell state marker	C4	0.818139950825993
NOTCH_1	Cell state marker	C5	0.06360655154535205
NOTCH_1	Cell state marker	C6	-0.330023952091706
NOTCH_1	Cell state marker	C7	0.24962886387314248
NOTCH_1	Cell state marker	C8	-0.178805663617671
NOTCH_1	Cell state marker	C9	-0.689756952489718
NOTCH_3	Cell state marker	C1	-0.433558471815089
NOTCH_3	Cell state marker	C2	-0.5705047184955165
NOTCH_3	Cell state marker	C3	-0.17012271753627
NOTCH_3	Cell state marker	C4	-0.408666259780328
NOTCH_3	Cell state marker	C5	-0.4022662283069065
NOTCH_3	Cell state marker	C6	0.394485059854929
NOTCH_3	Cell state marker	C7	-0.03098016853396515
NOTCH_3	Cell state marker	C8	-0.145612991237677
NOTCH_3	Cell state marker	C9	1.81780557088906
P63	Cell state marker	C1	-0.3340818321611825
P63	Cell state marker	C2	1.0050506954009115
P63	Cell state marker	C3	0.225660270627743
P63	Cell state marker	C4	0.328442439804026
P63	Cell state marker	C5	-0.5608292074233976
P63	Cell state marker	C6	-0.6788434931745575
P63	Cell state marker	C7	-0.7340485742071865
P63	Cell state marker	C8	0.360009778581354
P63	Cell state marker	C9	-0.69026038965096
RB_P	Cell state marker	C1	0.563241744962417
RB_P	Cell state marker	C2	0.5111214240109916
RB_P	Cell state marker	C3	1.0002631154229
RB_P	Cell state marker	C4	-1.23865744241961
RB_P	Cell state marker	C5	0.5686412109102574
RB_P	Cell state marker	C6	0.548105677120188
RB_P	Cell state marker	C7	-1.2771419270077802
RB_P	Cell state marker	C8	-1.18240344126653
RB_P	Cell state marker	C9	-0.54264831542974
RELA	Cell state marker	C1	-0.40157493025701796
RELA	Cell state marker	C2	-0.5095801798763685
RELA	Cell state marker	C3	0.201289169672562
RELA	Cell state marker	C4	0.344493000092172
RELA	Cell state marker	C5	-0.2118453500356005
RELA	Cell state marker	C6	0.35215346833573447
RELA	Cell state marker	C7	0.39430418241786047
RELA	Cell state marker	C8	-0.743827137060849
RELA	Cell state marker	C9	0.857351951914086
RSK1_P_S380	Cell state marker	C1	-0.312651395418093
RSK1_P_S380	Cell state marker	C2	-0.8460142598497324
RSK1_P_S380	Cell state marker	C3	-0.0197658086506415
RSK1_P_S380	Cell state marker	C4	-0.244240252951897
RSK1_P_S380	Cell state marker	C5	-0.301880947023691
RSK1_P_S380	Cell state marker	C6	0.5107992148135
RSK1_P_S380	Cell state marker	C7	0.24536663550739551
RSK1_P_S380	Cell state marker	C8	0.0475747361545243
RSK1_P_S380	Cell state marker	C9	1.80778322463086
SMAD2_3_P	Cell state marker	C1	-0.5198458362638295
SMAD2_3_P	Cell state marker	C2	-0.7835872713557805
SMAD2_3_P	Cell state marker	C3	0.0162078034026387
SMAD2_3_P	Cell state marker	C4	-0.305147922406392
SMAD2_3_P	Cell state marker	C5	-0.5554374909485851
SMAD2_3_P	Cell state marker	C6	0.9011586253280099
SMAD2_3_P	Cell state marker	C7	0.29638581105473005
SMAD2_3_P	Cell state marker	C8	-0.0776945107916274
SMAD2_3_P	Cell state marker	C9	2.02006362469418
SMAD3	Cell state marker	C1	-0.434179276285678
SMAD3	Cell state marker	C2	0.8015961238637614
SMAD3	Cell state marker	C3	0.433390576522191
SMAD3	Cell state marker	C4	0.382571629198036
SMAD3	Cell state marker	C5	-0.728204803415125
SMAD3	Cell state marker	C6	-0.7839316085921055
SMAD3	Cell state marker	C7	-0.44280507589859697
SMAD3	Cell state marker	C8	0.659320461254008
SMAD3	Cell state marker	C9	-0.667347448588003
