sample_id	plate_number	treatment	cluster	BMP_signalling	TGFb_signalling	TNFa_signalling	Notch_signalling	Wnt_signalling	EGF_signalling	JAK-STAT_signalling	adhesion	proliferation	differentiation
plate_10_171	plate_10	ip70S6K_EGF	1	11.066455941311037	5.688998888195126	41.72346682087159	11.73062760336517	12.350435372958012	78.90171915698633	19.356648605671882	14.77617594681378	42.03322011023731	26.213794081493106
plate_2_171	plate_2	ip70S6K_EGF	2	10.666800740040909	9.335222475317353	31.902862818063248	7.204026167316094	4.550401340398179	63.58245382398613	20.107906442997667	11.733493199229931	47.249923418862046	18.06644615921168
plate_3_171	plate_3	iRSK_EGF	2	8.153611232677429	7.330802610690429	35.94676569698044	10.505265413705459	4.919115532719822	69.07908190952769	24.987492840168585	11.840448141950532	26.70747832640433	23.598815443979383
plate_6_171	plate_6	EGF	3	13.19528823474276	8.785653283158135	31.777646793204383	8.801754120330017	6.1949532320416	68.20620151154587	20.954206133598838	8.844164110308101	42.34714744598706	22.973941246541095
plate_8_171	plate_8	ip70S6K_EGF	4	11.799714467827895	9.311728561500104	53.603349705852494	12.065096792369134	12.970060455736245	89.62487379180928	28.77266250839898	22.451907365786013	38.01949454061437	29.151600651231195
plate_10_169	plate_10	EGF	2	7.80155140958781	9.99363634614325	32.454965977196046	5.881896402770414	4.619638543258002	74.85429864815647	21.528842712969666	14.769948961146445	45.33114255288829	16.032612794740885
plate_11_169	plate_11	EGF	5	10.613354088733725	4.431960226795269	42.236037032835654	11.12481064723579	7.711509598091586	76.86744293206773	20.689420227766668	15.253037823782874	46.787060360946924	29.218274893337536
plate_2_169	plate_2	EGF	6	11.680735361245457	7.79689012759946	45.52537455035898	10.868044323655052	9.639431419252704	95.36739596288376	21.545580637382553	18.502059155201334	44.269753445506396	29.545994115724987
plate_3_169	plate_3	ip70S6K_EGF	7	13.640323904561434	7.519141053426219	45.95192267734846	11.778998823270864	12.084443004882441	96.84859512848024	22.404779970989804	21.475020595331227	42.90574434103022	30.73644252511762
plate_4_169	plate_4	ip70S6K_EGF	4	7.396968487326441	9.461463920175044	47.096693330378905	9.088519433535053	9.10444163146593	74.71829598606965	22.09687906505249	14.678666673992325	34.35883396920542	23.88023563391991
plate_9_169	plate_9	EGF	4	12.306101983910942	8.920345660087921	43.684267072337775	12.428262654221829	6.9487605670301615	69.20826846736144	27.521689529816445	13.391220961563144	30.190642368314393	24.328950522480646
plate_13_172	plate_13	iRSK_EGF	4	8.873312868678093	8.725404247347937	39.867413913882906	11.643477620956482	6.748264889446449	71.02563564779169	27.124281172272724	15.476760578990461	31.482378742423737	24.066021258666243
plate_3_172	plate_3	ip70S6K_EGF	4	9.164274886122698	12.976386262472138	60.42231463460632	13.695063282960692	10.381324663219184	96.08019174063229	33.14710874881246	19.064288901549848	46.74648267471226	35.06558867818571
plate_6_172	plate_6	ip70S6K_EGF	5	13.533379604627807	8.985827937595127	46.1339504100534	9.60827397657387	11.428617222976357	87.72358519105474	22.981124907955937	21.080695516228005	50.859090322145775	26.856173127265688
plate_8_172	plate_8	iRSK_EGF	2	10.78626547524939	12.698586146483887	36.87004793278893	5.083857409799648	5.443070520602582	81.44450286316538	23.118342316951082	14.187293600306775	35.53197945100634	20.510706192368207
plate_11_186	plate_11	ip70S6K_EGF	7	8.327989322247989	7.624499876095722	41.55890872327495	10.41008450642293	12.222416215952387	67.01500239270497	22.322951590108236	20.07296707172717	26.19938385272998	30.894108287286233
plate_12_186	plate_12	ip70S6K_EGF	7	11.719142426107574	8.091542399213623	42.867335528915184	12.461444863384258	8.008426436119658	89.58448982156271	22.439366768529148	17.078482533178878	42.23855580105044	31.64522045103743
plate_4_186	plate_4	ip70S6K_EGF	4	10.184191683625821	7.976120152030276	41.7041458827916	12.98841316555714	5.53969090199954	84.48360442700677	25.84228435040474	18.193910004136953	36.942439321087996	29.45718532623158
plate_6_186	plate_6	EGF	7	15.398942476204425	6.6795142634029165	54.908469287567215	16.536375851719693	14.938898171644084	107.03295191811051	25.353690047977736	37.29562967442418	39.52988075046432	47.701993091472445
plate_7_186	plate_7	EGF	1	13.484276095615888	6.28892897658236	44.60284739955337	11.955848718514481	9.814592020175605	91.46916200750537	21.40036799240202	19.285829471224943	39.83856093428387	30.303856495332084
plate_9_186	plate_9	iRSK_EGF	3	13.135938159183986	9.271173002380767	47.01547385501837	8.707302618878423	2.348956162182155	88.17936701442261	22.488889176043433	16.66529737363382	37.68106962425765	27.836578761424075
plate_10_156	plate_10	ip70S6K_EGF	7	14.506211939245361	7.768790899314374	52.41407797275272	12.656824004452439	13.482130615338006	96.91979117123311	26.47642214647228	27.057035829083382	38.45955075223751	38.3539806511273
plate_2_156	plate_2	EGF	6	13.317949293954321	7.42698316133686	40.47507841801472	9.760194230480042	7.950448670781798	84.08190138364499	24.163382290778838	17.758137487314407	46.170372337190166	31.569344696182924
plate_4_156	plate_4	ip70S6K_EGF	8	16.325460568052154	7.898152980870629	42.01634112683285	13.510411871369396	2.943560355182007	91.24372203391351	21.88270603532172	14.891759953893924	36.05803846433514	32.908452877317934
plate_6_156	plate_6	EGF	5	9.623737945619087	4.895085194259132	43.68954749111748	11.924747730306024	8.026499489212041	79.6589755221237	21.041149480623712	20.660615215776264	45.29930047000355	29.078362253950168
plate_8_156	plate_8	EGF	3	12.696376982942772	9.406038752711773	47.12994673764653	10.085779599567152	8.559916882088103	94.30200411501443	22.844527586940078	17.662134018502737	53.64889641388677	27.20097722578421
