category	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change
adhesion	1	ip70S6K_EGF	0.9920646812170546	0.9184026171413215	0.0369668873498312	-0.011493909528230753
adhesion	1	iRSK_EGF	0.6530282862272928	1.6973512597281523e-4	3.770228272958839	-0.6147826107481057
adhesion	2	ip70S6K_EGF	0.8323755657590121	0.014500475499939304	1.8386177561364832	-0.2646934792563203
adhesion	2	iRSK_EGF	0.6590290155622576	4.060316424822234e-6	5.3914401200682764	-0.6015861096445513
adhesion	3	ip70S6K_EGF	0.9759654240793857	0.6446443667779804	0.19067980806385498	-0.03509805713280516
adhesion	3	iRSK_EGF	0.7350665459335599	1.3440289607427632e-5	4.871591373130955	-0.4440532311390471
adhesion	4	ip70S6K_EGF	0.8481566688320828	0.08140616536752526	1.0893427021906767	-0.237597315393137
adhesion	4	iRSK_EGF	0.5397494889522251	1.666848083795279e-5	4.778103979881573	-0.8896381226172373
adhesion	5	ip70S6K_EGF	1.0456654610478742	0.5872479194151978	0.2311785132274096	0.0644213650801341
adhesion	5	iRSK_EGF	0.6905528580106773	0.0013748123220410577	2.8617565840628485	-0.5341762458330922
adhesion	6	ip70S6K_EGF	0.9944851022537459	0.9121592691260596	0.0399293243212694	-0.00797833575959117
adhesion	6	iRSK_EGF	0.8363110487585339	0.00480176799622062	2.3185988272850833	-0.25788847191175635
adhesion	7	ip70S6K_EGF	0.9893298408568676	0.8723453148283584	0.05931156708768402	-0.015476501674203067
adhesion	7	iRSK_EGF	0.7402208951993632	0.005550622150832836	2.255658335520509	-0.43397223380337846
adhesion	8	ip70S6K_EGF	1.0854519081873883	0.349451488935002	0.45661310475410666	0.11829580761445953
adhesion	8	iRSK_EGF	0.8395325323293346	0.06946803188286219	1.1582150050628917	-0.2523418634465284
adhesion	9	ip70S6K_EGF	1.3809035378500878	0.0012858289129315486	2.8908168129924374	0.4656125445591378
adhesion	9	iRSK_EGF	1.110436750171556	0.4211911623451896	0.3755207499865127	0.15112722015858712
BMP_signalling	1	ip70S6K_EGF	0.9404205750917425	0.2838175580172019	0.5469607409641236	-0.08862199139397947
BMP_signalling	1	iRSK_EGF	0.9012078456809801	0.08186501934768994	1.086901631200933	-0.15006822153176172
BMP_signalling	2	ip70S6K_EGF	0.9733419832032674	0.6123304247398189	0.21301416132476347	-0.03898131065455362
BMP_signalling	2	iRSK_EGF	0.8485346702842712	0.002926495428754302	2.5336521499261315	-0.2369544868279514
BMP_signalling	3	ip70S6K_EGF	0.9549834219642171	0.2581656888407307	0.5881014775510192	-0.06645240598777645
BMP_signalling	3	iRSK_EGF	0.8889300852009164	0.009412811272901578	2.0262806488397644	-0.169858140062226
BMP_signalling	4	ip70S6K_EGF	0.9066719204051943	0.10254992370008338	0.9890646584223344	-0.141347489480218
BMP_signalling	4	iRSK_EGF	0.843456949948952	0.021303246895250805	1.6715541993206182	-0.24561365966453771
BMP_signalling	5	ip70S6K_EGF	0.9961774798549067	0.9534755692726851	0.020690430322213953	-0.005525297878953706
BMP_signalling	5	iRSK_EGF	0.8377414904631812	0.0141843047772617	1.8481919456487548	-0.25542296786396623
BMP_signalling	6	ip70S6K_EGF	1.082218611613486	0.16056477822417492	0.79434971622115	0.11399195760616035
BMP_signalling	6	iRSK_EGF	0.9099976545468696	0.06237567212145589	1.20498476165606	-0.13606526801334767
BMP_signalling	7	ip70S6K_EGF	0.955218277223006	0.30261819928884415	0.5191049573007758	-0.06609765337810933
BMP_signalling	7	iRSK_EGF	0.8687074118781081	0.011604099495479027	1.9353885561402913	-0.20305774812449892
BMP_signalling	8	ip70S6K_EGF	1.1274810923225087	0.16329215481707413	0.7870346799387665	0.17310323991855062
BMP_signalling	8	iRSK_EGF	0.9014075033236035	0.10825131466693169	0.9655668206177658	-0.14974863577851122
BMP_signalling	9	ip70S6K_EGF	1.2860128988855672	0.00304356057910937	2.5166180496162176	0.36290511316734886
BMP_signalling	9	iRSK_EGF	1.0657596651858452	0.4671407636748165	0.3305522336186763	0.09188213890725458
differentiation	1	ip70S6K_EGF	1.0029401349097857	0.9304076943015658	0.03132670672877513	0.004235494637699923
differentiation	1	iRSK_EGF	0.904941348000895	0.007771363237071947	2.10950279144271	-0.14410380511177193
differentiation	2	ip70S6K_EGF	0.9209425915637458	0.0033755149376806667	2.4716599657856833	-0.11881686848137439
differentiation	2	iRSK_EGF	0.901483881332384	6.829803412070634e-5	4.165591796798945	-0.1496263986038214
differentiation	3	ip70S6K_EGF	1.0029926377113116	0.9156700933463127	0.038260970051255325	0.004311016143151505
differentiation	3	iRSK_EGF	0.9245630351435238	0.0026949688599925293	2.5694462486633443	-0.11315641139763298
differentiation	4	ip70S6K_EGF	0.949558927830709	0.23267946551902272	0.6332419424772701	-0.07467056080943196
differentiation	4	iRSK_EGF	0.890585329883438	0.03600124107106519	1.4436825275375782	-0.16717424762341979
differentiation	5	ip70S6K_EGF	0.9583183000759002	0.2947216855325918	0.5305879077176016	-0.06142317622177175
differentiation	5	iRSK_EGF	0.9095034413115332	0.025851383660590047	1.5875162069190838	-0.13684899823798896
differentiation	6	ip70S6K_EGF	0.9425474142881072	0.10569832613901095	0.9759318902171437	-0.08536290076306802
differentiation	6	iRSK_EGF	0.9157359603379388	0.004778594083398251	2.320699858959722	-0.12699641755150817
differentiation	7	ip70S6K_EGF	0.9437822252495418	0.014653950145311291	1.8340452903221283	-0.08347409419647683
differentiation	7	iRSK_EGF	0.9195921759949591	0.006630603808096883	2.1784469212808397	-0.12093390340857539
