sample_id	plate_number	treatment	cluster	BMP_signalling	TGFb_signalling	TNFa_signalling	Notch_signalling	Wnt_signalling	EGF_signalling	JAK-STAT_signalling	adhesion	proliferation	differentiation
plate_6_171	plate_6	EGF	3	6.981878903700737	1.4990266141690167	1.229956892834774	1.743026992794823	2.7303037623041377	2.2232788503933643	4.084782376530407	3.642786775185235	5.003575663853095	5.050443692394189
plate_10_169	plate_10	EGF	2	1.9355853666696898	2.85322425434488	3.2674079057594496	0	3.4623333753615126	2.271147649644808	2.7027015083926016	6.749114949084718	6.642148954319865	1.655147316804302
plate_11_169	plate_11	EGF	5	3.5556120196296943	5.170992852496581	5.86301399893287	2.944181475913408	3.345104317996249	4.4320612732251625	4.397836295961844	7.537326542825419	4.175792840931212	1.7084868078097395
plate_2_169	plate_2	EGF	6	4.367731020713303	6.46399034415134	6.294339633709258	2.7274316426119065	4.944533088632171	5.910641578407124	4.979823501067463	5.663201819657222	4.025871511731544	2.4130934004472664
plate_9_169	plate_9	EGF	4	5.333687836054976	4.205435594013673	4.766813622876215	3.545177743404599	2.919934395483012	3.6361698858619635	5.3015513312708284	5.907371257807949	2.5469346811263676	3.3747782695849153
plate_6_186	plate_6	EGF	7	6.688338025296279	8.714239287286816	9.195531313023027	5.7129122906994825	6.991169110478106	9.156512611439037	7.55375482482299	3.5319631378698624	2.937796853542544	3.2374935495817065
plate_7_186	plate_7	EGF	1	5.837009678864783	5.559639593613741	5.83346184948732	3.3181843408359732	3.8852705428609857	6.03584599418949	4.878090060030532	6.376531608143985	4.146707265083115	3.080217486789217
plate_2_156	plate_2	EGF	6	5.254008345613517	4.9370183426110845	4.912534121927124	1.9105563851195235	3.8197041702571015	4.904696320151735	6.452142556632902	6.401924837294146	5.749420970570189	1.5467523003541686
plate_6_156	plate_6	EGF	5	2.786991736920294	5.273647616650445	5.889317823454831	3.254737818972327	4.526250563864135	4.43973643424899	4.8357200217678304	5.956380009586652	4.104414680693596	1.0441479583070166
plate_8_156	plate_8	EGF	3	5.0530583942307565	7.385215787253928	7.33015841299916	2.2907557484279053	4.185148186783557	6.696812961646417	4.559411317191397	6.204488897955832	7.763849850487086	2.7134356043670915
