sample_id	plate_number	treatment	cluster	BMP_signalling	TGFb_signalling	TNFa_signalling	Notch_signalling	Wnt_signalling	EGF_signalling	JAK-STAT_signalling	adhesion	proliferation	differentiation
plate_4_206	plate_4	EGF	2	6.13147073805691	6.328656690393551	5.778310154894424	3.7770120422380735	5.342890240857391	5.178675061517655	6.518550201686409	3.4613896839083305	6.856083986468798	6.019770269195694
plate_8_206	plate_8	EGF	2	3.6306233789486027	4.242300737201933	4.230517386846361	2.1716373865298304	2.2994493584731304	3.5903186978214015	4.218813510331105	7.187938470979665	3.718812875714883	3.1122335354042208
plate_11_216	plate_11	EGF	5	6.962143006466796	5.351053459985503	5.2138580870437	1.541745075306086	4.106630663044508	4.7414543644704645	6.264497390857599	5.32880058597962	2.388940594034056	5.965249157495625
plate_12_216	plate_12	EGF	2	1.9921606753755743	2.587158224329464	2.4677205253833994	1.7865544070976833	4.733147530463104	1.937658187826869	1.5373758469174712	6.740421158056967	1.994156115358201	2.8551932825391466
plate_4_216	plate_4	EGF	6	4.83242083126132	7.24837832922542	7.071817196363693	3.5558220258049773	5.406651699731512	5.702837028902681	5.178912841332529	5.029111732931739	4.874734919076828	4.2143442129789035
plate_8_216	plate_8	EGF	1	5.4908877928858075	4.6885860384620575	5.155160615533544	2.122192170418163	4.786429624890369	4.443262787684126	4.754709467536358	6.350913526065921	3.5323484897859947	3.2385062106308644
plate_3_208	plate_3	EGF	1	2.7526474884199814	5.060874216399764	5.487960117770406	2.3529223955352974	5.419344052164768	6.052966912806785	6.540982531603328	4.684869842876895	5.571534651478246	3.0254132443429005
plate_7_208	plate_7	EGF	5	1.7147765379221087	3.7830759335775825	3.907554666949815	2.389391211577559	4.283336787841942	3.4610639657705007	3.390157431694644	7.793721305390236	0.6712216214006694	3.5038487161334224
plate_13_230	plate_13	EGF	2	2.4654532829695905	2.278395937373457	2.1921692343085235	1.0342130638186529	3.518099508942103	2.5606014013107545	3.3144328675472474	5.81651926329527	3.5963822596645576	1.869993350284381
plate_6_230	plate_6	EGF	4	3.666557005057607	4.953322501350103	5.117309645768119	4.584867336341186	5.404446891705553	4.960436433095808	6.033124461740029	4.557527200398701	5.154728436661346	3.236744226177514
plate_3_203	plate_3	EGF	6	8.171913424102573	7.944924123075489	7.251575796564218	4.654651654720164	7.34174555361168	7.09140394686677	7.702412159622489	2.9534145199309627	6.019638474032693	6.44207988159374
plate_4_203	plate_4	EGF	3	5.694803610676132	4.477608341654028	4.017338493212214	3.4704668817759696	4.300505015296148	4.33634177638215	5.698797478749318	4.084466098336997	6.733980194595056	5.236404186304698
plate_3_209	plate_3	EGF	3	4.845929541423465	3.1405530465599503	3.3147137869532175	2.904515051288647	4.531265178965841	4.193784098935746	5.143822010555631	4.653936313018338	5.110873548525832	3.3002087254358727
plate_13_240	plate_13	EGF	9	7.754395879611128	8.66964769572502	7.775465797455624	5.224018007209185	7.3152151912101395	9.050936306917148	7.141343281313038	3.23425299283638	8.54279538516271	7.905431737171878
