"","sample_id","plate_number","treatment","cluster","ITGB1","MAPK_P38_P2","PLC_G2_P","STAT5_P","LRP6_P","H2A_P","KALLIKREIN_6","EPHRIN_B3","PLC_G1_P","SMAD3","MTOR_P","NFKB_P65_P","FAK_P","CDC2","STAT1","EGFR_P_Y1173","IKBA_P","KLF4","JAK1_P","RSK1_P_S380","RB_P","FAK","EGFR_P_Y1045","FRIZZLED_3","CREB_P","NOTCH_3","ERK1_2","MAPK_P38_P","RSK1_P_T359","AKT1_P","BMP2_4","CMYC","SMAD1_5_9_P","NOTCH_2","NICD","JNK","BMPRII","IKBA","GAPDH","AKT123_P","RELA_P","STAT1_P","RIBOSOMAL_S6_P","SMAD1_5_P","H3_P","MKK3_6_P","RNAPOLII","SRC","CFOS_P","STAT3_P","CYCLIN_E","CDK4","CYCLIN_B1","P63","IGFBP_3","NOTCH_1","SMAD2_3_P","RELA","SMAD1","GSK3B_P","ERK1_2_P","MAPK_APK2_P","JAGGED_1","AKT2","TGM1","SRC_P","JNK_P","CJUN_P","JAK1"
"1","plate_10_171","plate_10","ip70S6K_EGF","1",1.01898538892229,0.876398155682626,0.932569195776166,1.11304324373844,0.821872747385698,1.55763501098823,0.906202531082622,0.972312632372396,0.945321331894212,0.938282604818999,1.06818149556398,1.00265075522495,0.99995441114339,1.20797684988061,1.36281757576141,0.828250681223887,1.00387996308202,0.941725619428692,0.816216495629571,0.871719877111283,1.04991728685517,0.657208279343238,1.08776083086906,1.18914224481135,1.24122477844618,0.990521289913162,0.978858463541004,1.08117045575097,0.817843111592124,1.26364630109005,0.966681765690024,0.799511274455282,1.05897715074877,1.10075421568537,1.23109791147962,1.03480809645763,0.865894687263152,0.890223344367813,0.852909805388004,1.15883595317242,1.05269624318296,0.977799632727407,0.562095986866801,1.10376971794949,1.07490440426353,0.793292221003424,0.810755742670565,0.929425063395737,1.28978430268408,0.914751905156734,0.871079548765118,1.02314123044072,1.09006224400009,0.743979390365378,0.931390499338999,1.035583157781,1.12978138459937,1.2446284005242,1.13261484119534,1.18448728571636,0.852347738131311,0.9577127297193,0.953944949175459,1.09799012381095,0.892768470504723,0.917797353687158,0.82515544574368,0.712071351540478,0.970053572167251
"2","plate_7_186","plate_7","EGF","1",1.06395015254263,1.04803022354986,1.04200358328463,1.25677703431799,1.16952100660339,0.993390060229977,1.04468059771269,1.08702402340515,0.949072721315075,0.952189882353544,1.05052717113529,1.02738401910735,0.928774765728694,1.09056815177665,1.0500357173135,1.15898303946974,1.00806536961888,0.99552378331336,0.959411487415431,1.06182329376894,0.88432729951465,0.974729217936398,1.03391579538518,1.068028110654,1.00698274503701,1.02888798300103,1.12033415520324,1.00002882987057,0.999974629004075,1.12131513075405,1.08400497048542,0.990103000875386,1.07709738294898,0.989092849249074,1.01981223672572,0.888999292551441,1.07357280569264,1.1522542192205,1.26731184765375,1.06272087965638,0.991484807039918,0.973336031635778,0.989431550736823,1.12060786240115,1.04037347211585,0.997725941942458,1.14947634077035,0.996525310385194,1.0633728666018,0.957131070390475,1.05029576925104,1.02820778573425,1.11472711059542,0.987546439591137,1.10130952457023,1.27941407921194,1.2061952630027,1.09215734554892,1.08220544533025,1.19018581992718,1.0754123789743,0.97069649646445,1.25897237585272,1.10071074493601,0.733554229811571,0.998327469143173,1.01548948778937,1.04207416436334,0.967622833048244
"3","plate_12_154","plate_12","ip70S6K_EGF","1",0.58982189090565,1.07498597625148,0.803788304640864,0.968180514132106,1.33569909866772,1.1193866948539,0.997897781290593,1.24275785847968,0.973094069906464,1.31390069597862,1.16915585178307,0.987848625842399,0.980493280683909,1.10996086363632,0.736956045527304,0.795017585368239,0.854145917591253,1.07093862527139,0.715067847664157,1.04920232812548,0.945670063734254,0.830954849590877,0.92943212282356,1.11725354474073,0.78097179546867,1.18681214214227,0.999852759079713,1.0825887973436,0.802276780225987,1.10148049787369,1.06941829146194,0.573708796069545,0.995910140035802,1.14715161630437,0.984113167128199,0.777090252118695,0.788754568536974,1.08373434208849,1.00075045955373,1.09399412787105,0.911334773996505,0.881344677964034,0.249805636601181,1.05717893291018,0.836618214645248,0.894066839953064,0.909760756542636,0.922348553809256,0.777071212843157,0.881123946917535,1.01053401299244,0.966647327604255,0.848096708627991,1.09622086925521,0.97041989357266,1.49808203540452,0.933165679697504,0.730867054978645,0.999536287115223,0.76957365541976,1.09475758669245,0.956629233960451,0.731126154203434,1.02128503502083,1.15938290744284,0.89774413264221,0.95326443462523,0.555610985691117,1.00105778773994
"4","plate_7_154","plate_7","iRSK_EGF","1",0.951219080460344,0.819392984170019,0.869221702991959,0.893583345987574,0.729933261741404,0.654320902054783,1.64184604739888,0.875951403290373,0.886461611358581,1.04748794933732,1.06334560300478,0.794874927071025,0.940157386404742,0.997983342953241,1.63866304654792,0.92730877243688,0.903208583457612,1.00367514928054,0.937132222026786,1.19448164828419,0.745019693948457,0.890123305506381,0.801996211277193,1.20345471525661,0.997626091875993,0.939734738284756,1.09757190517131,1.08798869786394,0.544389332615726,0.991522071766267,0.924279229802982,0.670303846985448,0.912725419915861,1.0519267916783,1.08510186880867,0.898463616057732,0.955979777279603,1.09088385351029,1.44757805207168,0.824558914947286,0.701286510542339,0.890784850108295,0.59875017091624,0.958230968585341,1.14950646880484,1.22483427253583,0.863722803750712,0.899951841963986,0.822371237926864,0.838701625133419,0.929519307154414,0.973827804879489,0.883361768616232,0.875088548618832,0.776188683932376,1.19919522985024,1.17587649165705,0.959926455239869,0.819286037415804,1.17854237540007,0.967383879167108,1.43759855225785,1.31445854044604,0.924284659593829,0.561274070116527,1.01217643863877,1.06969435384558,1.61899982077216,0.953576121433022
"5","plate_11_183","plate_11","EGF","1",0.986904715254215,0.924500080262295,0.86269888274372,0.799082302148445,1.00621105328974,0.607165157436372,1.24109999099845,0.903581788874497,0.914055672203408,1.0619409129341,1.00376896671543,0.957379569717152,1.00329366886871,1.02564801852903,0.913115889497126,0.918945353515776,1.02756251775847,0.967656927021083,1.0036257992078,0.971115603046124,0.938003512663632,1.00926117041901,0.867766953760773,1.06610139800107,0.861536545257059,0.861719281440421,0.96169007835923,1.06972625279563,0.896909017844113,0.940246791235126,0.9945159979336,1.08667822803791,1.0610665254752,1.0089632141272,0.876093194799598,0.893606931570696,1.14711164913056,1.06366892820722,1.12430689307572,0.923035411678859,0.965515582357446,0.855903828890578,0.366341765116888,0.983221177237442,0.88851155362278,1.08928492339232,0.962818262852689,0.895034376482715,0.90153139325075,0.936289454641639,0.988021305221074,1.07563286754157,0.991858516518198,1.12371003979205,0.966734918618438,1.32504216706045,0.87785725583026,0.896346189894953,1.02892320608136,0.874420363434037,1.00445666337894,1.04330495889676,1.00563614302964,0.876814168227056,1.08780652994106,0.868823773507051,0.983456205515718,0.873389449413412,1.05863800120673
"6","plate_3_183","plate_3","iRSK_EGF","1",1.00635889572481,1.05024601630899,1.0279836488485,1.05054910435263,0.896756144242215,0.610815101192272,1.35369174238243,0.982118996280327,0.877056806774133,1.04923457335451,0.876934273889064,0.759352745662505,0.880181743881916,0.818572910387806,1.80946992979727,0.814820229065949,0.929334961750324,1.01257744797507,0.970596020425809,1.1078071847287,0.813457261236703,0.996533100190506,0.922606330914456,1.03869585663187,1.11876940085756,0.909120257640923,1.0568429959514,0.979325668591775,0.807416846184286,1.04159133325127,0.877788576164115,0.684579906107732,0.900843245553155,0.965254430584254,0.999093111270727,0.822236372729492,1.17571260618007,0.944099770255086,0.911413246163613,0.972473263173606,0.862691907406399,0.816645227116202,0.608340843606844,0.850517992459445,0.958733752650893,0.957936399256854,0.981762501167343,0.960186506341631,0.928105568387831,1.23083015556759,0.984129845141483,0.909162052659383,0.878431338634309,1.19762568717138,0.925202644973112,0.981659541336374,1.02774012979739,0.941058850298853,0.829270862447231,0.869460314808081,1.76938494021428,1.22407380913648,0.871005009543262,1.02518336199058,0.974020373392418,0.851160095997106,0.956326434127085,1.20405333610835,1.13324719919168
"7","plate_4_183","plate_4","ip70S6K_EGF","1",0.928046022155851,1.0783802210883,0.946258033582327,0.849215536605942,0.818054217667557,1.19860908530763,0.973833364916683,1.03391644991457,1.02453926319056,0.933697548987719,1.12642692499036,1.0399297254978,1.10761240364336,1.1147978791152,1.24982519402869,0.894735745486107,0.930978543315549,0.903968235900998,1.06660667436695,1.03675270682242,0.860460414627009,1.00412046353965,1.06278549078128,1.23200045956282,1.09752265087406,1.00516219069455,1.20849318758356,1.08174182905796,0.948579167094687,0.907098826525706,0.938432964360719,1.07188623355674,1.00807566091209,1.11540905537055,1.01636861313544,0.943030738527595,1.3323299326755,1.08795420971273,0.994304849939659,1.03285778756837,1.0826048785913,1.15092428860256,1.27089446520404,0.694105073336015,1.16239713237002,1.04804928706354,0.985177733968209,0.957591772893587,0.851897982415873,1.0575744630688,1.05291527013697,0.961765147637966,1.04558826253822,0.812226108905484,1.14703119321339,1.09675740555445,1.15640441198772,1.05129561803795,0.928452798657013,0.951552710294062,0.972617840810055,1.0950833084163,1.19244679616186,0.899145686201862,0.772830305056746,0.981267418736086,1.07880812976149,0.89677869832576,0.897169961715177
"8","plate_4_173","plate_4","EGF","1",0.997457495949394,1.05126111658958,1.00142152775333,1.16028324924994,1.10266439790808,0.738225496649683,1.24047823725306,1.14881793468528,1.10652465704867,0.970485012613057,0.945779913457286,0.943844906126094,1.18985699300056,1.65324681917564,0.880103253138286,1.09323752986501,1.01323992509505,0.979544975673225,1.11959372806469,1.23985805785034,0.907170388052034,0.889681344448456,0.927389267895532,0.982455703626536,1.05291108820843,1.28611664486791,0.972638121414934,1.00647688963134,1.11662622616304,1.03433927164143,0.954352722886655,1.0286614281026,1.02057568735874,1.05734159873113,1.2500551491333,0.957965473458989,0.945070701079049,0.974134056931858,1.11632973908307,1.05353852262752,0.991321267501555,0.865061573109291,0.927304562275867,1.19129319510242,1.16900225372574,0.996297090433159,0.91984399570173,1.00357729109179,1.18147321474113,0.931203361619471,0.948206218912648,0.863533969943894,0.834834190393449,0.874891360191135,1.10131414578282,0.923394388589948,1.0252073330609,1.12300874435275,0.860612163640348,0.945049021286483,1.05760717001783,0.920113688915072,1.26455836161105,1.19051857328849,0.996469735406249,1.25322494419929,0.947011448949115,1.10036076783571,0.93828573990607
"9","plate_10_157","plate_10","EGF","1",1.14752452897027,0.999950880878975,0.988238339078035,1.07911167069656,0.994926518748153,0.778414076215063,0.979086754383337,1.0563803088124,1.12478408261025,1.02676442835856,1.18395242966535,1.20870679344588,1.1985825074168,1.17265763040299,0.949964282686502,1.21378615059312,1.21033145852404,0.924176330391719,1.02827238073378,0.917082076550585,1.08362259630411,1.08425985098787,0.9900002987572,1.28814452685691,1.17215593205492,1.36049061630169,1.35103733601324,1.15636937715985,1.08511885019855,1.29726566789527,0.972296281001136,1.12918661692494,1.21573160169371,1.19116133528045,1.31385994315526,1.07660384677564,1.21466430432038,0.956119721675974,0.915253629218349,1.02542053033221,1.08541457617449,1.12779629744051,1.19875710760824,0.8922937403557,0.819914554441734,1.07466603783642,0.962179495503894,1.17324270607806,0.927679272670283,0.765489563835172,1.05603575393441,1.0657884203137,0.886892740747473,0.98353957718718,1.13845799825917,0.713499658310921,0.985211409288857,0.781034884852892,1.25177691092666,0.995611559179187,1.1241962005011,1.00874954891975,0.974512223739728,1.00469215196462,1.02424650282602,0.83648296042825,0.989196078076712,1.06206634981594,1.01006984214145
"10","plate_4_157","plate_4","ip70S6K_EGF","1",0.836960006663695,1.09216567703526,1.15696128089993,1.07790315310668,0.774168974914129,0.760959507749589,1.04947467169916,1.21710659131655,1.23102993359268,1.11264152741034,1.19653385057622,0.841317237079974,0.962534976865785,0.851841358933258,1.11041781282354,1.02596429212391,0.962951390015003,1.03263088539048,1.19720162894173,1.12831654916965,0.986406745263599,1.07824575667995,0.908997489212091,0.993733575941786,0.878796117450803,0.921578860360186,0.979387949760402,1.07068988685274,0.753821363778551,1.28795558702678,0.923204683943617,1.02058503587561,1.18310244748104,1.07336961785524,1.47061345517569,0.727382468005188,1.42724841551446,0.893218334210266,1.00414576207957,1.02524182612588,1.00524653980098,1.10040573692946,0.399413017796741,1.08929668440667,0.87283945850383,0.910502385428803,1.03562478346855,1.05483588132372,1.19567622084123,0.884134791978771,1.06175982479298,0.852753391608807,0.813311657823983,0.97218878445284,1.00243307760508,0.857548621372002,1.07637493896387,0.972036095956267,0.986920966705693,1.01645203882076,1.06757209663928,0.931814026334915,1.10566669963771,1.04968354411381,0.755080391704316,1.05772935390861,0.896090564193361,0.682711324691056,1.00848310760892
