sample_id	plate_number	treatment	ITGB1	MAPK_P38_P2	PLC_G2_P	STAT5_P	LRP6_P	H2A_P	KALLIKREIN_6	EPHRIN_B3	PLC_G1_P	SMAD3	MTOR_P	NFKB_P65_P	FAK_P	CDC2	STAT1	EGFR_P_Y1173	IKBA_P	KLF4	JAK1_P	RSK1_P_S380	RB_P	FAK	EGFR_P_Y1045	FRIZZLED_3	CREB_P	NOTCH_3	ERK1_2	MAPK_P38_P	RSK1_P_T359	AKT1_P	BMP2_4	CMYC	SMAD1_5_9_P	NOTCH_2	NICD	JNK	BMPRII	IKBA	GAPDH	AKT123_P	RELA_P	STAT1_P	RIBOSOMAL_S6_P	SMAD1_5_P	H3_P	MKK3_6_P	RNAPOLII	SRC	CFOS_P	STAT3_P	CYCLIN_E	CDK4	CYCLIN_B1	P63	IGFBP_3	NOTCH_1	SMAD2_3_P	RELA	SMAD1	GSK3B_P	ERK1_2_P	MAPK_APK2_P	JAGGED_1	AKT2	TGM1	SRC_P	JNK_P	CJUN_P	JAK1
plate_10_171	plate_10	ip70S6K_EGF	0.407269440164271	0.00361947115385977	0.00202702688790502	0.00223049877326247	0.00401957405529155	0.0143637468337417	0.0131326675771235	0.00485729156521334	0.00190392523696378	0.0134371123637526	0.00281117895784964	0.00340998598776607	0.00423110888478293	0.0023256344843064	0.0283063650189094	0.00248743754273293	0.00698760033614981	0.0059269815993707	0.00219866137458728	0.0021568761132457	0.0504690641839758	0.00182203538072188	0.00344244467336054	0.0306029987810511	0.0070589047960815	0.00152064013367647	0.00225450784838993	0.00929304750532037	0.00371963834773521	0.00526548094237965	0.0128820644146495	0.00804829454683701	0.00251263352841063	0.00454032162349349	0.00322566964083637	0.00374161575781098	0.0020624324535538	0.00366573079540458	0.00320911085991833	0.00393337926244051	0.00406551928166536	0.00252018363457319	0.0732478526228264	0.00326853942267254	0.0114076691230225	0.00475564137655954	0.00427249766762484	0.0186269829340163	0.00650250461744736	0.00634458303217205	0.00356340604411281	0.00298549098713506	0.0123580749882064	0.0206433846278797	0.00313843516442549	0.0492013976983698	0.00181636726243375	0.00368026362275958	0.00636782678938223	0.00713396984465862	0.0025962690463294	0.0126266973704913	0.00374859080399081	0.0042418748125205	0.00332642086624217	0.00296521157549178	0.00514488763109041	0.00476253889838266	0.0356604665021206
plate_12_171	plate_12	No_EGF	0.492500102781206	0.00394802638112168	0.00193512163900119	0.00226133555702877	0.00638891969101981	0.00592962361866148	0.0133264585214656	0.00476561138707642	0.00197436937933633	0.0151214047983862	0.00293253685045923	0.00291263112709738	0.00404454928643991	0.00218235451684394	0.0184075591241135	0.00314578500927551	0.00597658288798467	0.00725955846127605	0.00220295662013661	0.00251493957575851	0.0389429627066979	0.00302960031255404	0.00299069337247403	0.0299430993099735	0.0049288034122811	0.0018136747610278	0.00278530338596909	0.0095671601867985	0.00439731881981921	0.00460246961303183	0.0145134711484896	0.00766243284093578	0.00213133770392388	0.00371821997666543	0.00275297704025784	0.00338222243649673	0.00344516737637277	0.00432869600126574	0.00345137279172772	0.00326217498412624	0.00393051516971098	0.00231027391171825	0.0815650189452777	0.00321479559700199	0.00901727622020351	0.00514902968246858	0.00511757149328496	0.0195105852631714	0.00448725034174669	0.00651375741589177	0.00407404648507664	0.00237100222368224	0.0103179441610513	0.0346652711809974	0.00282293627197556	0.0837718549536488	0.00224107056586513	0.00282778415794992	0.0073871462770996	0.00561998047120115	0.00345115993828868	0.0115274136925475	0.00610826735348241	0.00369074608836411	0.00393747335854719	0.00299547853221247	0.00657078137660443	0.00361460752136729	0.0361169736924514
plate_13_171	plate_13	No_EGF	0.326474751378573	0.00485262155448804	0.00189110830673672	0.00175430246761335	0.00414147010962107	0.00522757984668709	0.0108699154281846	0.00564212914236548	0.00157861131596426	0.0225502441706957	0.00254989857190877	0.00245012118936584	0.00371897943670487	0.00202511428243806	0.056215212270283	0.0028163578321208	0.00761891478565344	0.00602016055569742	0.0021337224818895	0.00194630678762056	0.081283197113337	0.00239385523817504	0.00308106767305896	0.0193993664303505	0.00668399931127618	0.00140033115052131	0.00287008694187783	0.00657020429037947	0.00574450633745352	0.00361975038386844	0.0134231702132079	0.00836684107595321	0.00194300551387151	0.00379361109742934	0.00223064831176375	0.00339604976998425	0.00213093215213995	0.00401999870090673	0.00373037753165118	0.00348165191120188	0.00281532389992018	0.00252909814552551	0.224900127974703	0.00264262923578935	0.00985080205295576	0.00493058693818458	0.00803127931455236	0.0180291408854404	0.00431415851892563	0.00732130914433944	0.00359136733127362	0.00278748865049747	0.011154635687854	0.0438100429539145	0.00298127118585302	0.0294613574515795	0.0018917743470775	0.00351475855997345	0.00625838202373727	0.00890244069367547	0.00231419712361369	0.0122504697206417	0.00548963899145626	0.0034960302897965	0.00207928943127373	0.00274151374119464	0.00604099226528428	0.00631687763125881	0.0415547039701377
plate_2_171	plate_2	ip70S6K_EGF	0.341812690342818	0.00372546864256785	0.00159786822439494	0.00172196623749571	0.00413852293030592	0.0119629809400021	0.0126781806334551	0.00469961134708578	0.00157470341105899	0.0206726584305712	0.00236268045904755	0.00225940598230957	0.00329491659326728	0.00171898231784952	0.0439289540007619	0.00293995365677559	0.00695777288853496	0.00649052401970161	0.00215432987005213	0.00227293966464518	0.0606668628708461	0.00215395871850147	0.00263607237011377	0.0257628917379615	0.00432751373652647	0.00142741788584981	0.00244129674922806	0.00828969077146953	0.00574520533248903	0.00353417988774235	0.0167554313876466	0.00906841470214733	0.002189035376862	0.00367621363066547	0.00217919885318801	0.0034447104806289	0.00256487135749607	0.00477543234866691	0.00408454089870072	0.00321287104307218	0.00334867957988227	0.00227510192782211	0.104188698676062	0.00223546194337498	0.00979048899796361	0.00614466629575569	0.00723698846620175	0.0203968148434296	0.0048201928966551	0.00631114364198308	0.00335152700486288	0.00276743685194288	0.0225687077480871	0.0505754013221891	0.00261831939384047	0.0300164151551797	0.0014616465269454	0.00301907814134695	0.00643089950927277	0.0035732192831134	0.0024311125313969	0.00907584207926547	0.00445024348668761	0.00298120386216372	0.00364322596779679	0.00199265470468116	0.00513766323720526	0.0050911783116363	0.0435802451154775
plate_3_171	plate_3	iRSK_EGF	0.273786106361739	0.00447994324331182	0.00194773924777199	0.00152560159734632	0.00476035199296118	0.00726807135539643	0.0195388966873697	0.00517119374713138	0.00132341752561187	0.0187401586706291	0.00205141988090854	0.00248811007773181	0.00335496904986879	0.00167458201542015	0.0662483872880506	0.00219996913389243	0.00591756946988824	0.00605994365331057	0.00246586344635936	0.00231135784336286	0.0196576342913363	0.00226588937613102	0.00219554871908108	0.0242056763418871	0.00561479337988953	0.00176857064912092	0.00250974244520384	0.00776762002303473	0.00431794664245057	0.00319034171237676	0.0163868917525941	0.00745731821917798	0.00163020828962934	0.00390925084369547	0.00247593053098588	0.00300524853427776	0.0026293117122236	0.00553109318906987	0.00358440756893284	0.00324798463088151	0.0030818282075803	0.00230342877558365	0.0809800106165056	0.00191386972315327	0.00904371580192307	0.00458164477487989	0.00547039753298744	0.019629324256156	0.0044518600862782	0.00712149813795689	0.00369141624984862	0.00279989046865127	0.0174950076183432	0.0416246499023878	0.0028786892575129	0.0507966146368061	0.00128280819069653	0.00268984271810435	0.00498522924146009	0.00480977067676702	0.00606309717944193	0.0152426866206131	0.00466536127168199	0.00358910681009677	0.00331639231651563	0.00248293846276282	0.00616125973087967	0.00922045449862375	0.0469719916206713
plate_6_171	plate_6	EGF	0.148951574519059	0.00324021070964432	0.00176167744666709	0.00169057334107593	0.00457599763677847	0.00559272057099366	0.0121709655977173	0.00444283955182979	0.00151117337586538	0.017073460612335	0.0026928620635637	0.00290828162469121	0.00369940283548992	0.00192691249340666	0.0218714483266019	0.0030544406442416	0.00678630725741666	0.00712893116640665	0.002582398830223	0.00376587459168568	0.0472844573328836	0.00248439251951588	0.00304548118563241	0.0207279747807208	0.00575724930182621	0.00212520759806708	0.00287906667631543	0.0057804733670996	0.00356052669120593	0.00362956668753153	0.0218527424121687	0.0131840160681068	0.00217290271311619	0.00382380735164527	0.00239806130370794	0.00282647164956232	0.0024946060136042	0.00493043974482079	0.00390124741221423	0.00282458110031757	0.00302563509578614	0.00314791074302855	0.150466080731364	0.00267690845490192	0.00705248545176865	0.00501449000505859	0.00589533706657307	0.0161022251540481	0.00308045892389657	0.00639355893174761	0.00282261634822646	0.00281139019253538	0.00774952783887165	0.0384278461825865	0.00269069355283521	0.0310177388083795	0.00197368988183994	0.00380112911703169	0.00581281755541533	0.00607185299560467	0.00314377064989566	0.0108767077288643	0.00416993690302688	0.00318844335361786	0.0739788269672379	0.00235141455897202	0.00528298937244924	0.00565790393350231	0.036968871496639
plate_8_171	plate_8	ip70S6K_EGF	0.535867972653919	0.00422039317457064	0.00191704382643485	0.00207832460780897	0.00518162173950596	0.00609282085282056	0.0140365966143972	0.00565076690500082	0.00211905362070101	0.0181709569133874	0.00249657236078612	0.0027497095473216	0.00405424067606728	0.00185552587057596	0.0781325901265699	0.00343628742305221	0.00770467097704941	0.00739282204673442	0.00256389761029655	0.00275285671076207	0.0103439430042032	0.00253981889484508	0.00299804932120439	0.026828341222536	0.00756833050846029	0.00149515132942191	0.00311476290231977	0.00987774723215627	0.00465614233460347	0.00474876494189227	0.015059900153499	0.00793684122343227	0.00231765474687815	0.00427377048899357	0.00278337247861595	0.00338321117733077	0.00269458306684925	0.0054123262141059	0.00448014579245483	0.00364570510338315	0.00367558942396273	0.00296530837639629	0.0851742248390907	0.00262865515569471	0.0103733669447171	0.00648658401493042	0.0053553129114882	0.0233686796209937	0.00564418169307575	0.00617063270495397	0.00407143735541993	0.00271353475819446	0.0106784323468227	0.0290699759077976	0.00324305303267413	0.0465978325617397	0.00191272102192994	0.00437120970960169	0.00728972256382347	0.00917807822433874	0.0024965991634714	0.0125368434411354	0.00558460819003551	0.00375212040120023	0.00529459230697483	0.00310038819260738	0.0061841078245763	0.00375866801370288	0.0440397169205088
plate_9_171	plate_9	No_EGF	0.299417771173907	0.00321434863436532	0.00154559496311368	0.00160167599878859	0.00339048085774757	0.00780014151417291	0.0132018466385695	0.00417812649284691	0.00144411551588771	0.0122034902527866	0.00202507859792424	0.00234748267197934	0.00271434333298355	0.0017141047933497	0.0505592230136379	0.00191552685807241	0.00547452509272937	0.00512730614415328	0.00208053703912921	0.00201479648271179	0.0535548614724177	0.00262274453085069	0.00243857183272677	0.0148409519833299	0.00810002167094894	0.00115069991820219	0.00222355230338905	0.00565387143284157	0.00314226067631876	0.00337541234582183	0.010162891470588	0.0091750004227369	0.00193325811027296	0.0034377094122943	0.00256392319795405	0.0033031817843561	0.0022277404597138	0.00358649064456597	0.00302534165422595	0.00303502029548982	0.00254631021809547	0.00220995819189052	0.113694887085084	0.00206608342750783	0.014192382050841	0.00484992054967196	0.00509899501165594	0.0144917230904292	0.0032641145034517	0.00523599157489038	0.00324012180995572	0.00204120789263494	0.0197615162312772	0.0482599182379348	0.00255667405935217	0.0524605665088753	0.00132891343943787	0.00316916603449286	0.00578494171067504	0.0060367236674982	0.00209112950384276	0.0131515975839936	0.00440656911054295	0.00278980169096651	0.00112194244228917	0.0022074890553517	0.00506599344894706	0.00666096599564551	0.0362606340853347
plate_10_169	plate_10	EGF	0.330796433903329	0.00418240565547721	0.00186395188111607	0.00162498689967991	0.004995261921358	0.00725895733831209	0.0115422676436151	0.00527833573048045	0.00146777779572817	0.020881467125044	0.00255280562468644	0.00324473129335598	0.003212724771844	0.00158676082500634	0.0380045304868752	0.00244711712707875	0.00599660710677234	0.00622944629263894	0.00242296211143672	0.0022287684753426	0.0619294751695029	0.00247818956476368	0.00272891891614426	0.0246129955946442	0.00471735548317078	0.00114590267860776	0.00288947141824774	0.0083887348955038	0.00491127076863395	0.00340877349961199	0.0154576835908955	0.00866817861570779	0.00192193368727354	0.00355155563170012	0.00197659432181874	0.00398066314590683	0.0022698009077903	0.00439800595438749	0.00337831481114034	0.00360933166779399	0.00369066295168929	0.00225124471304484	0.162540220626194	0.00198982815127325	0.00845839853018123	0.00521055605079789	0.00583032116172334	0.0217273423901384	0.00390695917785186	0.00697512184558851	0.00347646389975572	0.00347223913261234	0.0106915124735392	0.0529075166590754	0.00260274295273531	0.0412270619407165	0.00159826085121641	0.00229568249287551	0.0062024294450833	0.00456167583196089	0.00286076538018029	0.0112374656218419	0.00356425980181883	0.00357489351531735	0.0031357410010585	0.00256712164985404	0.00520816228637396	0.00476019872963656	0.0457350320069292
plate_11_169	plate_11	EGF	0.349216267774701	0.00369429278853365	0.00178151473226468	0.00208122627396812	0.00523244892256832	0.0141233820909712	0.0186379121337192	0.00510843259411335	0.00192326876477958	0.0127853904450938	0.00266969879921073	0.00329177433723939	0.00345317739664546	0.00194586956252757	0.0249168987183034	0.00239314302662556	0.00618122496475862	0.00650592935932802	0.00228488783690321	0.0027212111383422	0.0470015093037291	0.00264533349595911	0.00255599716312981	0.0266019673212823	0.00632198433277068	0.00145711015315211	0.00202085664191485	0.0093557739654182	0.00518188094868488	0.00377871450905886	0.0133152948991735	0.00908683719100847	0.00220523358753707	0.00392253132500476	0.00248793838538726	0.00303893447835317	0.0025737424468123	0.00427202188311231	0.00421367047361464	0.00306155317297546	0.00438818489425885	0.00257343301300048	0.157839358699473	0.00271846346378806	0.0152519265951541	0.00598091484568908	0.00530828670176354	0.018921000388156	0.00556939248680092	0.00764141809185554	0.00343336545585955	0.00304363938388285	0.0196087686377109	0.0201937207072986	0.00283464399499421	0.0533889405022449	0.00160180473615107	0.00309721359876332	0.00461451958614184	0.00591775850986914	0.00328088689436211	0.015589528348981	0.00544664328285469	0.00322509530426826	0.00350919418602239	0.00282637660814527	0.0058745341935666	0.00561676951857373	0.0349484250727335
