"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"244","plate_12_216","plate_12","EGF",1,4,1,3,3
"245","plate_13_216","plate_13","iRSK_EGF",3,1,3,1,1
"246","plate_2_216","plate_2","iRSK_EGF",7,4,3,4,4
"247","plate_4_216","plate_4","EGF",5,5,5,5,6
"248","plate_6_216","plate_6","ip70S6K_EGF",2,2,2,2,2
"249","plate_8_216","plate_8","EGF",2,2,2,2,2
"250","plate_9_216","plate_9","ip70S6K_EGF",4,2,2,3,2
"251","plate_10_208","plate_10","ip70S6K_EGF",6,1,6,1,1
"252","plate_12_208","plate_12","iRSK_EGF",1,4,1,3,3
"253","plate_13_208","plate_13","ip70S6K_EGF",6,1,6,1,1
"254","plate_2_208","plate_2","ip70S6K_EGF",6,1,6,1,1
"255","plate_3_208","plate_3","EGF",2,2,2,2,2
"256","plate_4_208","plate_4","iRSK_EGF",1,2,1,4,4
"257","plate_7_208","plate_7","EGF",8,3,7,7,5
"258","plate_13_165","plate_13","iRSK_EGF",6,1,6,1,1
"259","plate_2_165","plate_2","iRSK_EGF",6,1,6,1,1
"260","plate_3_165","plate_3","iRSK_EGF",2,7,3,4,4
"261","plate_6_165","plate_6","iRSK_EGF",3,1,3,1,1
"262","plate_7_165","plate_7","iRSK_EGF",4,6,4,6,7
"263","plate_12_230","plate_12","iRSK_EGF",7,4,1,8,4
"264","plate_13_230","plate_13","EGF",1,4,1,3,3
"265","plate_2_230","plate_2","ip70S6K_EGF",6,1,6,1,1
"266","plate_4_230","plate_4","iRSK_EGF",5,5,5,5,6
"267","plate_6_230","plate_6","EGF",3,7,3,4,4
"268","plate_9_230","plate_9","iRSK_EGF",5,8,4,6,8
"269","plate_10_203","plate_10","ip70S6K_EGF",8,3,7,7,5
"270","plate_11_203","plate_11","ip70S6K_EGF",6,1,6,1,1
"271","plate_13_203","plate_13","iRSK_EGF",8,3,7,7,5
"272","plate_3_203","plate_3","EGF",5,5,5,5,6
"273","plate_4_203","plate_4","EGF",4,4,4,3,3
"274","plate_10_209","plate_10","ip70S6K_EGF",4,6,4,6,7
"275","plate_2_209","plate_2","ip70S6K_EGF",6,1,6,1,1
"276","plate_3_209","plate_3","EGF",4,4,4,3,3
"277","plate_9_209","plate_9","ip70S6K_EGF",4,6,4,6,7
"278","plate_10_240","plate_10","iRSK_EGF",9,9,9,9,9
"279","plate_11_240","plate_11","ip70S6K_EGF",9,9,9,9,9
"280","plate_13_240","plate_13","EGF",9,9,9,9,9
"281","plate_3_240","plate_3","ip70S6K_EGF",7,8,8,8,8
"282","plate_4_240","plate_4","EGF",5,5,5,5,6
"283","plate_6_240","plate_6","ip70S6K_EGF",4,6,4,6,7
"284","plate_7_240","plate_7","iRSK_EGF",8,3,7,7,5
"285","plate_8_240","plate_8","ip70S6K_EGF",9,9,9,9,9
"286","plate_10_223","plate_10","EGF",5,5,5,5,6
"287","plate_11_223","plate_11","EGF",7,8,8,8,8
"288","plate_13_223","plate_13","iRSK_EGF",3,7,3,6,8
"289","plate_9_223","plate_9","EGF",7,8,8,8,8
"290","plate_10_236","plate_10","ip70S6K_EGF",9,9,9,9,9
"291","plate_11_236","plate_11","iRSK_EGF",9,9,9,9,9
